Name,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless
Thermalright Peerless Assassin 120 SE,Thermalright ,Peerless Assassin 120 SE , PA120 SE-D3 | PA120 SE | PA120 SE D6-CAD | PA120 SE 1700 | PA120 SE 1700-d6 | 419043 | ,1550 RPM ,25.6 dB ,Black / Silver ,155 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer III Pro 360,ARCTIC ,Liquid Freezer III Pro 360 ,ACFRE00180A ,600 - 3000 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Cooler Master Hyper 212 Black Edition,Cooler Master ,Hyper 212 Black Edition ,RR-212S-20PK-R1 ,650 - 2000 RPM ,6.5 - 26 dB ,Black ,159 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1366 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Aqua Elite V3,Thermalright ,, Aqua Elite 360 Black V3 | AQUA ELITE 360 V3 | Aqua Elite 360 Black Argb V3 | 814256016346 | ,1500 RPM ,25.6 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 360 mm ,No 
Corsair NAUTILUS 360 RS ARGB,Corsair ,NAUTILUS 360 RS ARGB ,CW-9060093-WW ,2100 RPM ,34 dB ,Black ,, AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
ARCTIC Liquid Freezer III Pro A-RGB 360,ARCTIC ,Liquid Freezer III Pro A-RGB 360 ,ACFRE00184A ,600 - 3000 RPM ,,Black ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Thermalright Phantom Spirit 120 SE ARGB,Thermalright ,Phantom Spirit 120 SE ARGB , PS120SE ARGB | PS120 SE ARGB D6-CAD | Phantom Spirit 120 SE ARGB | ,1500 RPM ,25.6 dB ,Black / Silver ,154 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
ARCTIC Liquid Freezer III Pro A-RGB 360,ARCTIC ,Liquid Freezer III Pro A-RGB 360 ,ACFRE00188A ,600 - 3000 RPM ,,White ,68 mm , AM4 | AM5 | LGA1700 | LGA1851 | ,Yes - 360 mm ,No 
Noctua NH-D15 chromax.black,Noctua ,NH-D15 chromax.black , NH-D15 CHROMAX.BLACK | NH-D15 CH.BK | NH-D15-CH-BK | ,300 - 1500 RPM ,19.2 - 24.6 dB ,Black ,165 mm , AM2 | AM2+ | AM3 | AM3+ | AM4 | AM5 | FM1 | FM2 | FM2+ | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,No ,No 
Thermalright Assassin X 120 Refined SE,Thermalright ,Assassin X 120 Refined SE , AX120 SE-D3 | AX120 Refined SE | ,1550 RPM ,25.6 dB ,Black / Silver ,148 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
Thermalright Aqua Elite V3,Thermalright ,, Aqua Elite 240 Black V3 | AQUA ELITE 240 V3 | AQUA ELITE 240 BLACK ARGB V3 | 814256016339 | ,1500 RPM ,25.6 dB ,Black ,, AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | LGA2011 | LGA2011-3 | LGA2066 | ,Yes - 240 mm ,No 
be quiet! Dark Rock Pro 5,be quiet! ,,BK036 ,1300 - 2000 RPM ,8.9 - 23.3 dB ,Black ,168 mm , AM4 | AM5 | LGA1150 | LGA1151 | LGA1155 | LGA1156 | LGA1200 | LGA1700 | LGA1851 | ,No ,No 
