Name,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Fan Support,Included Fans,Radiator Support,Dimensions,Volume,Model
Montech XR,Montech , XR-B | XR (B) | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 420 mm</li> 16.535""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Motherboard Tray: 2 x 120 mm</li> PSU Shroud: 3 x 120 mm</li> , Rear: 1 x 120 mm (ARGB PWM)</li> Motherboard Tray: 2 x 120 mm (Reversed ARGB PWM)</li> , Rear: 140 / 120 mm</li> Top: 360 / 240 / 140 / 120 mm</li> ," 435 mm x 230 mm x 450 mm</li> 17.126"" x 9.055"" x 17.717""</li> ", 45.023 L</li> 1.59 ft³</li> ,
Phanteks XT PRO,Phanteks ,PH-XT523P1-BK01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes ,USB 3.2 Gen 1 Type-A , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> ","2 x Internal 3.5"" ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 3 x 140 mm</li> PSU Shroud: 3 x 120 mm</li> ,, Front: 240 / 120 mm</li> Rear: 120 mm</li> Top: 360 / 240 / 120 mm</li> ," 450 mm x 230 mm x 500 mm</li> 17.717"" x 9.055"" x 19.685""</li> ", 51.75 L</li> 1.828 ft³</li> ,
Lian Li Vector V100R,Lian Li , V100RX | G99.V100RX.00 | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 1 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 415 mm</li> 16.339""</li> "," 1 x Internal 3.5""</li> 1 x Internal 2.5""</li> ",7 x Full-Height , 120 mm</li> 140 mm</li> ,, 120 mm</li> 140 mm</li> 240 mm</li> 280 mm</li> 360 mm</li> ," 466 mm x 235.5 mm x 484.65 mm</li> 18.346"" x 9.272"" x 19.081""</li> ", 53.187 L</li> 1.878 ft³</li> ,
Corsair 3500X ARGB,Corsair ,CC-9011279-WW ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Rear: 1 x 120 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 1 x 140 mm</li> Motherboard Tray: 3 x 120 mm / 2 x 140 mm</li> ,Motherboard Tray: 3 x 120 mm (ARGB PWM) , Rear: 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Motherboard Tray: 360 / 280 / 240 / 140 / 120 mm</li> ," 460 mm x 240 mm x 506 mm</li> 18.11"" x 9.449"" x 19.921""</li> ", 55.862 L</li> 1.973 ft³</li> ,
NZXT H5 Flow (2024),NZXT ,CC-H52FB-01 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 410 mm</li> 16.142""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> Bottom: 2 x 120 mm</li> , Front: 1 x 120 mm (PWM)</li> Rear: 1 x 120 mm (PWM)</li> , Front: 360 / 240 / 120 mm</li> Top: 280 / 240 / 140 / 120 mm</li> ," 430 mm x 225 mm x 465 mm</li> 16.929"" x 8.858"" x 18.307""</li> ", 44.989 L</li> 1.589 ft³</li> ,
Lian Li O11 VISION COMPACT,Lian Li , O11VPX | O11 Vision Compact Black | G99.O11VPX.00 | PC-O11VPX | ,ATX Mid Tower ,Black ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 408 mm</li> 16.063""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Right: 3 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Bottom: 360 / 240 / 120 mm</li> Right: 360 / 240 / 120 mm</li> ," 447.5 mm x 287.5 mm x 446.4 mm</li> 17.618"" x 11.319"" x 17.575""</li> ", 57.432 L</li> 2.028 ft³</li> ,
Lian Li O11 VISION COMPACT,Lian Li , O11VPW | O11 Vision Compact White | G99.O11VPW.00 | PC-O11VPW | ,ATX Mid Tower ,White ,None ,Tempered Glass ,No , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 408 mm</li> 16.063""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm</li> Right: 3 x 120 mm</li> ,, Top: 360 / 280 / 240 / 140 / 120 mm</li> Bottom: 360 / 240 / 120 mm</li> Right: 360 / 240 / 120 mm</li> ," 447.5 mm x 287.5 mm x 446.4 mm</li> 17.618"" x 11.319"" x 17.575""</li> ", 57.432 L</li> 2.028 ft³</li> ,
HYTE Y70 Touch Infinite,HYTE , CS-HYTE-Y70TI-WW | CS-HYTE-Y70TTI-WW | ,ATX Mid Tower ,White ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> EATX</li> Micro ATX</li> Mini ITX</li> ," 390 mm</li> 15.354""</li> ","2 x Internal 3.5"" ", 7 x Half-Height</li> 4 x Full-Height via Riser</li> , Rear: 1 x 120 mm / 1 x 140 mm</li> Top: 3 x 120 mm / 2 x 140 mm</li> Bottom: 3 x 120 mm / 2 x 140 mm</li> Right: 3 x 120 mm / 2 x 140 mm</li> ,, Rear: 140 / 120 mm</li> Top: 360 / 280 / 240 / 140 / 120 mm</li> Right: 360 / 280 / 240 / 140 / 120 mm</li> ," 470 mm x 320 mm x 470 mm</li> 18.504"" x 12.598"" x 18.504""</li> ", 70.688 L</li> 2.496 ft³</li> ,
Fractal Design North,Fractal Design ,FD-C-NOR1C-02 ,ATX Mid Tower ,Black ,None ,Tempered Glass ,Yes , USB 3.2 Gen 2x2 Type-C</li> USB 3.2 Gen 1 Type-A</li> , ATX</li> Micro ATX</li> Mini ITX</li> ," 355 mm</li> 13.976""</li> "," 2 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",7 x Full-Height , Front: 3 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm / 2 x 140 mm</li> ,Front: 2 x 140 mm (PWM) , Front: 360 / 280 / 240 / 140 / 120 mm</li> Rear: 120 mm</li> Top: 240 / 120 mm</li> ," 447 mm x 215 mm x 469 mm</li> 17.598"" x 8.465"" x 18.465""</li> ", 45.073 L</li> 1.592 ft³</li> ,
Cooler Master MasterBox Q300L,Cooler Master ,MCB-Q300L-KANN-S00 ,MicroATX Mini Tower ,Black ,None ,Acrylic ,No ,USB 3.2 Gen 1 Type-A , Micro ATX</li> Mini ITX</li> ," 360 mm</li> 14.173""</li> "," 1 x Internal 3.5""</li> 2 x Internal 2.5""</li> ",4 x Full-Height , Front: 2 x 120 mm / 2 x 140 mm</li> Rear: 1 x 120 mm</li> Top: 2 x 120 mm</li> Bottom: 1 x 120 mm</li> ,Rear: 1 x 120 mm , Front: 240 / 120 mm</li> Rear: 120 mm</li> ," 387 mm x 230 mm x 378 mm</li> 15.236"" x 9.055"" x 14.882""</li> ", 33.646 L</li> 1.188 ft³</li> ,
