Name,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader
Crucial Pro Overclocking 32 GB,Crucial ,CP2K16G60C36U5B ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$12.156 ,Black ,12 ns ,36 ,1.35 V ,36-38-38-80 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2E6000C36 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 32 GB,Corsair ,CMK32GX4M2E3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 16GB ,$6.875 ,Black / Yellow ,10 ns ,16 ,1.35 V ,16-20-20-38 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance LPX 16 GB,Corsair ,CMK16GX4M2B3200C16 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.937 ,Black / Yellow ,10 ns ,16 ,1.35 V ,16-18-18-36 ,Non-ECC / Unbuffered ,Yes 
G.Skill Flare X5 32 GB,G.Skill ,F5-6000J3636F16GX2-FX5 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$13.124 ,Black ,12 ns ,36 ,1.35 V ,36-36-36-96 ,Non-ECC / Unbuffered ,No 
Corsair Vengeance RGB 16 GB,Corsair ,CMH16GX5M2B5200C40 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.624 ,Black / Gray ,15.385 ns ,40 ,1.25 V ,40-40-40-77 ,Non-ECC / Unbuffered ,Yes 
Silicon Power GAMING 16 GB,Silicon Power , SP016GXLZU320BDAJ5 | SU016GXLZU320BDAJ5 | ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$7.436 ,Black / Gray ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 64 GB,Corsair ,CMH64GX5M2B6000C30 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 32GB ,$17.344 ,Black ,10 ns ,30 ,1.4 V ,30-36-36-76 ,Non-ECC / Unbuffered ,Yes 
Patriot Viper Elite 5 16 GB,Patriot ,VEB516G6030W ,DDR5-6000 ,288-pin DIMM (DDR5) ,1 x 16GB ,$12.499 ,White ,10 ns ,30 ,1.35 V ,30-40-40-76 ,Non-ECC / Unbuffered ,Yes 
Corsair Vengeance RGB 32 GB,Corsair ,CMH32GX5M2E6000C36W ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,White / Silver ,12 ns ,36 ,1.4 V ,36-44-44-96 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro Overclocking 32 GB,Crucial ,CP2K16G64C32U5B ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.562 ,Black ,10 ns ,32 ,1.35 V ,32-40-40-103 ,Non-ECC / Unbuffered ,Yes 
Crucial Pro 32 GB,Crucial ,CP2K16G64C38U5B ,DDR5-6400 ,288-pin DIMM (DDR5) ,2 x 16GB ,$11.250 ,Black ,11.875 ns ,38 ,1.35 V ,38-40-40-84 ,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 32 GB,Kingston ,KF560C30BBEK2-32 ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.000 ,Black ,10 ns ,30 ,1.4 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 128 GB,Kingston ,KF436C18BBK4/128 ,DDR4-3600 ,288-pin DIMM (DDR4) ,4 x 32GB ,$13.241 ,Black ,10 ns ,18 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
Kingston FURY Beast 16 GB,Kingston ,KF552C40BBK2-16 ,DDR5-5200 ,288-pin DIMM (DDR5) ,2 x 8GB ,$15.469 ,Black ,15.385 ns ,40 ,1.25 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Ripjaws V 16 GB,G.Skill ,F4-3200C16D-16GVKB ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$9.687 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
G.Skill Trident Z5 Neo RGB 32 GB,G.Skill ,F5-6000J3038F16GX2-TZ5NR ,DDR5-6000 ,288-pin DIMM (DDR5) ,2 x 16GB ,$15.468 ,Black ,10 ns ,30 ,1.35 V ,30-38-38-96 ,Non-ECC / Unbuffered ,No 
Kingston FURY Beast 16 GB,Kingston ,KF432C16BBK216 ,DDR4-3200 ,288-pin DIMM (DDR4) ,2 x 8GB ,$11.494 ,Black ,10 ns ,16 ,1.35 V ,,Non-ECC / Unbuffered ,Yes 
