Name,Manufacturer,Part #,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Color,Brightness,Pixel Pitch,Widescreen,Curved Screen,Frame Sync,Built-in Speakers,VESA Mounting,Viewing Angle,Inputs
MSI MAG 275QF,MSI ,MAG 275QF ,"27"" ",2560 x 1440 ,180 Hz ,0.5 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.233 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0b | 
Eizo ColorEdge ‎CG2700X,Eizo , CG2700X | CG2700X-BK | ,"27"" ",3840 x 2160 ,60 Hz ,13 ms ,IPS ,16:9 ,Black ,500 cd/m² ,0.156 mm ,Yes ,No ,None ,No ,,178° H x 178° V , 1 x DisplayPort | 1 x HDMI | 1 x USB Type-C | 
Asus ROG Swift OLED PG32UCDM,Asus , PG32UCDM | 90LM09T0-B013B0 | 90LM09T0-B01370 | ,"31.5"" ",3840 x 2160 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.182 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.1 | 1 x USB Type-C | 
MSI MAG 244F,MSI , MAG 244F | 9S6-3BC41H-001 | ,"23.8"" ",1920 x 1080 ,200 Hz ,0.5 ms ,IPS ,16:9 ,Black ,300 cd/m² ,0.274 mm ,Yes ,No ,FreeSync Premium ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 1.2a | 1 x HDMI 2.0b | 
Samsung Odyssey Neo G95NC,Samsung , LS57CG952NNXZA | LS57CG954NUXEN | LS57CG952NUXEN | ,"57"" ",7680 x 2160 ,240 Hz ,1 ms ,VA ,32:9 ,,1000 cd/m² ,0.181 mm ,Yes ,Yes ,FreeSync Premium Pro ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 3 x HDMI 2.1 | 
KOORUI 24E3,KOORUI ,24E3 ,"24"" ",1920 x 1080 ,165 Hz ,1 ms ,IPS ,16:9 ,Black ,250 cd/m² ,0.277 mm ,Yes ,No ,FreeSync ,No ,75 x 75 ,178° H x 178° V , 1 x DisplayPort 1.2 | 1 x HDMI 1.4 | 
Asus ROG Swift OLED PG27AQWP-W,Asus , PG27AQWP-W | 90LM0CF2-B019B2 | ,"27"" ",2560 x 1440 ,540 Hz ,0.02 ms ,WOLED ,16:9 ,Black ,1500 cd/m² ,0.233 mm ,Yes ,No , FreeSync Premium Pro | G-Sync Compatible | ,No ,100 x 100 ,178° H x 178° V , 1 x DisplayPort 2.1 | 2 x HDMI 2.1 | 
MSI PRO MP225V,MSI ,PRO MP225V ,"21.45"" ",1920 x 1080 ,100 Hz ,4 ms ,VA ,16:9 ,Black ,300 cd/m² ,0.247 mm ,Yes ,No ,FreeSync ,No ,100 x 100 ,178° H x 178° V , 1 x HDMI 1.4 | 1 x VGA | 
Asus TUF Gaming VG27AQ,Asus , VG27AQ | 90LM0500-B01370 | 90LM0500-B03370 | ,"27"" ",2560 x 1440 ,165 Hz ,1 ms ,IPS ,16:9 ,Black ,350 cd/m² ,0.233 mm ,Yes ,No , FreeSync | G-Sync Compatible | ,Yes ,,178° H x 178° V , 1 x DisplayPort | 2 x HDMI | 
AOC Agon PRO AG276QZD2,AOC ,AG276QZD2 ,"26.7"" ",2560 x 1440 ,240 Hz ,0.03 ms ,QD-OLED ,16:9 ,Black ,1000 cd/m² ,0.231 mm ,Yes ,No ,FreeSync ,Yes ,,178° H x 178° V , 1 x DisplayPort 1.4 | 2 x HDMI 2.0 | 
