Name,Manufacturer,Part #,Socket / CPU,Form Factor,Chipset,Memory Max,Memory Type,Memory Slots,Memory Speed,Color,PCIe x16 Slots,M.2 Slots,SATA 6.0 Gb/s Ports,Onboard Ethernet,Onboard Video,USB 2.0 Headers,USB 3.2 Gen 1 Headers,USB 3.2 Gen 2x2 Headers,Supports ECC,Wireless Networking,RAID Support,Uses Back-Connect Connectors
MSI MAG B850 TOMAHAWK MAX WIFI,MSI , MAG B850 TOMAHAWK MAX WIFI | 7E62-002R | ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-8400 | ,Black / Green ,3.0, 2280/22110 M-key | 2260/2280 M-key | 2260/2280 M-key | 2260/2280 M-key | 2230 E-key | ,4.0,1 x 5 Gb/s Ports (Realtek 8126VB) ,Depends on CPU ,2.0,2.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Asus B650E MAX GAMING WIFI W,Asus , B650E MAX GAMING WIFI W | 90MB1M00-MVAAY0 | 90MB1M00-M0EAY0 | B650E MAX GAMING WIFI White | ,AM5 ,ATX ,AMD B650E ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,White ,4.0, 2280 M-key | 2280 M-key | 2242/2260/2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,3.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
MSI B650 GAMING PLUS WIFI,MSI , B650 GAMING PLUS WIFI | 7E26-001R | 911-7E26-001 | ,AM5 ,ATX ,AMD B650 ,192 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5000 | DDR5-5200 | DDR5-5400 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | ,Black ,2.0, 2280/22110 M-key | 2260/2280 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek 8125BG) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Asus PRIME B550M-A WIFI II,Asus , PRIME B550M-A WIFI II | 90MB19X0-M0AAY0 | 90MB19X0-M0EAY0 | ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2800 | DDR4-2933 | DDR4-3000 | DDR4-3200 | DDR4-3333 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4200 | DDR4-4266 | DDR4-4333 | DDR4-4400 | DDR4-4600 | DDR4-4800 | DDR4-4866 | ,Blue / Silver ,1.0, 2242/2260/2280/22110 M-key | 2242/2260/2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6 ,Yes ,No 
Gigabyte B850 AORUS ELITE WIFI7,Gigabyte , B850 AORUS ELITE WIFI7 | B850 A ELITE WF7 | B850 AORUS ELITE WF7 | ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-7900 | DDR5-7950 | DDR5-8000 | DDR5-8200 | ,Black ,3.0, 2580/25110 M-key | 2580/25110 M-key | 2580/25110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,1.0,No ,Wi-Fi 7 ,Yes ,No 
Asus TUF GAMING B650E-E WIFI,Asus ,TUF GAMING B650E-E WIFI ,AM5 ,ATX ,AMD B650 ,256 GB ,DDR5 ,4.0, DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,2.0, 2280 M-key | 2280 M-key | 2242/2260/2280/22110 M-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,1.0,No ,Wi-Fi 6E ,Yes ,No 
Gigabyte B550 EAGLE WIFI6,Gigabyte ,B550 EAGLE WIFI6 ,AM4 ,ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | ,Black ,5.0, 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
Gigabyte B550M K,Gigabyte , B550M K | GA-B550M-K | ,AM4 ,Micro ATX ,AMD B550 ,128 GB ,DDR4 ,4.0, DDR4-2133 | DDR4-2400 | DDR4-2666 | DDR4-2933 | DDR4-3200 | DDR4-3400 | DDR4-3466 | DDR4-3600 | DDR4-3733 | DDR4-3866 | DDR4-4000 | DDR4-4133 | DDR4-4266 | DDR4-4400 | DDR4-4600 | DDR4-4733 | ,Brown / Silver ,1.0, 2280 M-key | 2280 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,1.0,1.0,,No ,None ,Yes ,No 
Gigabyte B850 EAGLE WIFI6E,Gigabyte ,B850 EAGLE WIFI6E ,AM5 ,ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-5800 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7400 | DDR5-7600 | DDR5-7800 | DDR5-7900 | DDR5-7950 | DDR5-8000 | DDR5-8200 | ,Gray / Black ,4.0, 2280/22110 M-key | 2280/22110 M-key | 2280/22110 M-key | ,4.0,1 x 1 Gb/s Ports (Realtek) ,Depends on CPU ,2.0,1.0,,No ,Wi-Fi 6E ,Yes ,No 
ASRock B850M Pro-A WiFi,ASRock , B850M Pro-A WiFi | 90-MXBR9-A0UAYZ | 90-MXBR90-A0UAYZ | ,AM5 ,Micro ATX ,AMD B850 ,256 GB ,DDR5 ,4.0, DDR5-4400 | DDR5-4800 | DDR5-5200 | DDR5-5600 | DDR5-6000 | DDR5-6200 | DDR5-6400 | DDR5-6600 | DDR5-6800 | DDR5-7000 | DDR5-7200 | DDR5-7600 | DDR5-7800 | DDR5-8000 | ,Black ,1.0, 2280 M-key | 2280 M-key | 2280 M-key | 2230 E-key | ,4.0,1 x 2.5 Gb/s Ports (Realtek Dragon RTL8125BG) ,Depends on CPU ,2.0,2.0,,No ,Wi-Fi 6E ,Yes ,No 
