Name,Manufacturer,Part #,Type,Efficiency Rating,Wattage,Length,Modular,Color,Fanless,ATX 4-pin Connectors,EPS 8-pin Connectors,PCIe 16-pin 12VHPWR/12V-2x6 Connectors,PCIe 12-pin Connectors,PCIe 8-pin Connectors,PCIe 6+2-pin Connectors,PCIe 6-pin Connectors,SATA Connectors,AMP/Molex 4-pin Connectors
MSI MAG A750GL PCIE5,MSI , MAG A750GL PCIE5 | 306-7ZP8B11-CE0 | ,ATX ,80+ Gold ,750 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,8 ,4 
MSI MAG A850GL PCIE5,MSI , MAG A850GL PCIE5 | 306-7ZP8A11-CE0 | 306-7ZP8A15-CE0 | ,ATX ,80+ Gold ,850 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,8 ,4 
MSI MAG A650BN,MSI , MAG A650BN | 306-7ZP2B11-CE0 | ,ATX ,80+ Bronze ,650 W ,140 mm ,No ,Black ,No ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,2 
Corsair SF1000 (2024),Corsair , CP-9020257 | CP-9020257-AU | CP-9020257-NA | CP-9020257-EU | CP-9020257-UK | ,SFX ,80+ Platinum ,1000 W ,100 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,8 ,3 
Corsair RM850e (2025),Corsair , CP-9020296-NA | CP-9020296-AU | CP-9020296-UK | CP-9020296-EU | ,ATX ,,850 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,6 ,2 
Montech CENTURY II,Montech ,CENTURY II 850W ,ATX ,80+ Gold ,850 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,8 ,4 
Corsair RM1000x (2024),Corsair , CP-9020271-NA | CP-9020271-EU | CP-9020271-AU | CP-9020271-UK | ,ATX ,,1000 W ,160 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,12 ,6 
MSI MAG A550BN,MSI , MAG A550BN | 306-7ZP2A11-CE0 | ,ATX ,80+ Bronze ,550 W ,140 mm ,No ,Black ,No ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,2 
Corsair CX750M (2021),Corsair , CP-9020222-NA | CP-9020222-UK | CP-9020222-EU | CP-9020222-AU | ,ATX ,80+ Bronze ,750 W ,140 mm ,Semi ,Black ,No ,0 ,2 ,0 ,0 ,0 ,4 ,0 ,8 ,4 
Corsair RM750e (2025),Corsair , CP-9020295-NA | CP-9020295-EU | CP-9020295-UK | CP-9020295-AU | ,ATX ,,750 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,6 ,2 
Thermaltake Smart,Thermaltake ,PS-SPD-0500NPCWUS-W ,ATX ,80+ ,500 W ,140 mm ,No ,,No ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,5 ,6 
Asus ROG STRIX 1200P Gaming,Asus , rog-strix-1200p-gaming | 90YE00W0-B0NA00 | ,ATX ,80+ Platinum ,1200 W ,160 mm ,Full ,Black / Silver ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,3 
MSI MAG A850GL PCIE5,MSI , MAG A850GL PCIE5 WHITE | 306-7ZP8A24-CE0 | ,ATX ,80+ Gold ,850 W ,140 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,8 ,4 
Corsair RM850x (2024),Corsair , CP-9020270-NA | CP-9020270-EU | CP-9020270-AU | CP-9020270-UK | ,ATX ,,850 W ,160 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,8 ,3 
Corsair SF750 (2024),Corsair , CP-9020284 | CP-9020284-UK | CP-9020284-AU | CP-9020284-NA | CP-9020284-EU | ,SFX ,80+ Platinum ,750 W ,100 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,8 ,3 
Asus ROG THOR 1600T Gaming,Asus , 90YE00K0-B0NA00 | ROG-THOR-1600T-GAMING | ,ATX ,80+ Titanium ,1600 W ,190 mm ,Full ,Silver / Black ,No ,0 ,2 ,1 ,0 ,0 ,10 ,0 ,12 ,6 
Silverstone HELA,Silverstone ,SST-HA2050-PT ,ATX ,,2050 W ,180 mm ,Full ,Black / White ,No ,0 ,2 ,0 ,1 ,0 ,18 ,0 ,12 ,3 
Corsair RM650e (2025),Corsair , CP-9020302-NA | CP-9020302-AU | CP-9020302-EU | CP-9020302-UK | ,ATX ,,650 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,6 ,2 
Super Flower Leadex Titanium,Super Flower , SF-2800F14HP | SF-2800F14HP ATX3.1 | ,ATX ,80+ Titanium ,2800 W ,200 mm ,Full ,Black ,No ,0 ,2 ,4 ,0 ,0 ,6 ,0 ,16 ,4 
be quiet! Pure Power 13 M,be quiet! , BP026US | BP026AU | BP026U2 | BP026UK | BP026EU | ,ATX ,80+ Gold ,750 W ,160 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,2 
Corsair SF850 (2024),Corsair , CP-9020256 | CP-9020256-NA | CP-9020256-AU | CP-9020256-UK | CP-9020256-EU | ,SFX ,80+ Platinum ,850 W ,100 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,8 ,3 
MSI MPG A850GS PCIE5,MSI , MPG A850GS PCIE5 | 306-7ZPFZ11-CE0 | ,ATX ,80+ Gold ,850 W ,150 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,8 ,4 
Corsair RM1000e (2025),Corsair , CP-9020297-NA | CP-9020297-UK | CP-9020297-AU | CP-9020297-EU | ,ATX ,,1000 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,2 
Thermaltake Smart,Thermaltake ,PS-SPD-0600NPCWUS-W ,ATX ,80+ ,600 W ,140 mm ,No ,,No ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,6 ,3 
ASRock PRO-650G,ASRock ,PRO-650G ,ATX ,80+ Gold ,650 W ,140 mm ,No ,Black ,No ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,4 ,2 
MSI MPG A1000GS PCIE5,MSI , MPG A1000GS PCIE5 | 306-7ZPFY11-CE0 | ,ATX ,80+ Gold ,1000 W ,150 mm ,Full ,Black ,No ,0 ,2 ,2 ,0 ,0 ,1 ,0 ,8 ,4 
Corsair RM1000e (2025),Corsair , CP-9020294-NA | CP-9020294-AU | CP-9020294-UK | CP-9020294-EU | ,ATX ,,1000 W ,140 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,2 
be quiet! Pure Power 13 M,be quiet! , BP027US | BP027U2 | BP027AU | BP027EU | BP027UK | ,ATX ,80+ Gold ,850 W ,160 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,2 
MSI MAG A650GL,MSI , MAG A650GL | 306-7ZP8C11-CE0 | ,ATX ,80+ Gold ,650 W ,140 mm ,Full ,Black ,No ,0 ,2 ,0 ,0 ,0 ,4 ,0 ,6 ,4 
be quiet! Pure Power 13 M,be quiet! , BP028US | BP028UK | BP028U2 | BP028EU | BP028AU | ,ATX ,80+ Gold ,1000 W ,160 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,2 
Corsair HX1500i (2025),Corsair , CP-9020309-NA | CP-9020309-AU | CP-9020309-UK | CP-9020309-WW | CP-9020309-EU | CP-9020309 | ,ATX ,80+ Platinum ,1500 W ,200 mm ,Full ,Black ,No ,0 ,2 ,2 ,0 ,0 ,5 ,0 ,8 ,6 
MSI MAG A750BN PCIE5,MSI , MAG A750BN PCIE5 | 306-7ZP2C11-CE0 | ,ATX ,80+ Bronze ,750 W ,140 mm ,No ,Black ,No ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,5 ,2 
Corsair RM750e (2025),Corsair , CP-9020292-NA | CP-9020292-UK | CP-9020292-EU | CP-9020292-AU | ,ATX ,,750 W ,140 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,6 ,2 
Apevia CAPTAIN,Apevia ,CAPTAIN550 ,ATX ,,550 W ,140 mm ,No ,Black ,No ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,3 ,3 
Corsair RM850e (2025),Corsair , CP-9020293-NA | CP-9020293-EU | CP-9020293-UK | CP-9020293-AU | ,ATX ,,850 W ,140 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,6 ,2 
Corsair CX (2023),Corsair , CP-9020277-NA | CP-9020277-WW | CP-9020277-EU | CP-9020277-AU | CP-9020277-UK | ,ATX ,80+ Bronze ,550 W ,125 mm ,No ,Black ,No ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,3 ,2 
Corsair HX1200i (2025),Corsair , CP-9020307-NA | CP-9020307-AU | CP-9020307-WW | CP-9020307-UK | CP-9020307 | CP-9020307-EU | ,ATX ,80+ Platinum ,1200 W ,200 mm ,Full ,Black ,No ,0 ,2 ,2 ,0 ,0 ,5 ,0 ,8 ,6 
Montech CENTURY II,Montech ,CENTURY II 1050W ,ATX ,80+ Gold ,1050 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,6 ,0 ,12 ,4 
Corsair CX650M (2021),Corsair , CP-9020221-NA | CP-9020221-UK | CP-9020221-EU | CP-9020221-AU | ,ATX ,80+ Bronze ,650 W ,140 mm ,Semi ,Black ,No ,0 ,2 ,0 ,0 ,0 ,2 ,0 ,6 ,4 
Lian Li EDGE GOLD,Lian Li , EG1000G White | EDGE GOLD 1000 White | G9P.EG1000G.WH00.EU | EG1000G.WH | EG1000GW | EG1000G.W | EG1000G WH | ,ATX ,80+ Gold ,1000 W ,182 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,5 ,0 ,10 ,6 
SeaSonic Focus GX V4 ATX 3 (2024),SeaSonic , FOCUS-GX-850-V4 | Focus V4 GX-850 | ,ATX ,80+ Gold ,850 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,3 ,0 ,8 ,3 
Asus ROG STRIX 1000P GAMING,Asus , ROG-STRIX-1000P-GAMING-WHITE | 90YE00W4-B0NA00 | 90YE00W4-BTAA00 | 90YE00W4-B0AA00 | ,ATX ,80+ Platinum ,1000 W ,160 mm ,Full ,White ,No ,0 ,2 ,1 ,0 ,0 ,4 ,0 ,6 ,3 
Corsair RM850x (2021),Corsair , CP-9020200-NA | CP-9020200-UK | CP-9020200-EU | CP-9020200-AU | ,ATX ,80+ Gold ,850 W ,160 mm ,Full ,Black ,No ,0 ,3 ,0 ,0 ,0 ,4 ,0 ,14 ,4 
SAMA GT,SAMA ,GT650-BKGFFXX1-US ,ATX ,80+ Gold ,650 W ,140 mm ,Full ,Black ,No ,0 ,2 ,1 ,0 ,0 ,2 ,0 ,6 ,2 
