Name,URL,Image,Size,Color,RPM,Airflow,Noise Level,PWM,Price
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/WNbTwP/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3b,https://cdna.pcpartpicker.com/static/forever/images/product/6e924f68ceb41087f42d587ae5f524a5.256p.jpg,120 mm,Black,,0 - 61.3 CFM,0 - 29 dB,Yes,82.99
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/H2vD4D/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050181-ww,https://cdna.pcpartpicker.com/static/forever/images/product/d42ad252447db33db476f5c3b98450d5.256p.jpg,120 mm,Black,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,44.99
ARCTIC P12 Pro PST 5-Pack,https://pcpartpicker.com/product/wHpD4D/arctic-p12-pro-pst-77-cfm-120-mm-fans-5-pack-acfan00307a,https://m.media-amazon.com/images/I/41EoTWgHDUL.jpg,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,27.49
Noctua NF-A12x25 PWM chromax.black.swap,https://pcpartpicker.com/product/4q7G3C/noctua-nf-a12x25-pwm-chromaxblackswap-6009-cfm-120-mm-fan-nf-a12x25-pwm-chromaxblackswap,https://m.media-amazon.com/images/I/41ZywTiOj0L.jpg,120 mm,Black,450 - 2000 RPM,60.09 CFM,22.6 dB,Yes,37.95
Lian Li Uni Fan SL-Infinity 3-Pack,https://pcpartpicker.com/product/6kQcCJ/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fans-3-pack-uf-slin120-3w,https://cdna.pcpartpicker.com/static/forever/images/product/485f4e8eb3b477ae17cafebad9106c81.256p.jpg,120 mm,White,,0 - 61.3 CFM,0 - 29 dB,Yes,89.99
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/2hzhP6/lian-li-uni-fan-sl-infinity-613-cfm-120-mm-fan-uf-slin120-1b,https://cdna.pcpartpicker.com/static/forever/images/product/9affdb4ef64ed18ff87ada4c3c0b043d.256p.jpg,120 mm,Black,,0 - 61.3 CFM,0 - 29 dB,Yes,30.99
Corsair RS120 ARGB 3-Pack,https://pcpartpicker.com/product/pHP8TW/corsair-rs120-argb-728-cfm-120-mm-fans-3-pack-co-9050185-ww,https://cdna.pcpartpicker.com/static/forever/images/product/c64438b4576564f4a6f42c68f5ded42f.256p.jpg,120 mm,White,420 - 2100 RPM,13.3 - 72.8 CFM,10 - 36 dB,Yes,44.99
ARCTIC P12 Pro,https://pcpartpicker.com/product/M2jv6h/arctic-p12-pro-77-cfm-120-mm-fan-acfan00305a,https://m.media-amazon.com/images/I/41bVJwOAskL.jpg,120 mm,Black,600 - 3000 RPM,77 CFM,,Yes,8.49
Lian Li UNI FAN SL Wireless 120 Reverse Blade 3-Pack,https://pcpartpicker.com/product/DWMMnQ/lian-li-uni-fan-sl-wireless-120-reverse-blade-64-cfm-120-mm-fans-3-pack-12rsl1w3w,https://cdna.pcpartpicker.com/static/forever/images/product/19ebb17240352499a7ac7fff20f5eff7.256p.jpg,120 mm,White,400 - 2000 RPM,64 CFM,31 dB,Yes,104.00
Thermalright TL-C12C-S X3 3-Pack,https://pcpartpicker.com/product/vq6p99/thermalright-tl-c12c-s-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-s-x3-d6,https://m.media-amazon.com/images/I/41eKWm4GV9L.jpg,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,16.00
Lian Li Uni Fan SL-Infinity,https://pcpartpicker.com/product/ZRgrxr/lian-li-uni-fan-sl-infinity-636-cfm-120-mm-fan-rslin120-1b,https://cdna.pcpartpicker.com/static/forever/images/product/b99c951781dfdde6644d90bdc6878448.256p.jpg,120 mm,Black,200 - 2100 RPM,63.6 CFM,32 dB,Yes,29.99
Thermalright TL-C12C X3 3-Pack,https://pcpartpicker.com/product/JmfnTW/thermalright-tl-c12c-x3-6617-cfm-120-mm-fans-3-pack-tl-c12c-x3-d6,https://m.media-amazon.com/images/I/41KqlL2aSvL.jpg,120 mm,Black,1550 RPM,66.17 CFM,25.6 dB,Yes,11.99
Noctua NF-A14x25 G2 PWM Sx2-PP chromax.black 2-Pack,https://pcpartpicker.com/product/qXG2FT/noctua-nf-a14x25-g2-pwm-sx2-pp-chromaxblack-9158-cfm-140-mm-fans-2-pack-nf-a14x25-g2-pwm-sx2-pp-chromaxblack,https://cdna.pcpartpicker.com/static/forever/images/product/102bdf7cab8ab9f6e259c17833bbbde6.256p.jpg,140 mm,Black,,0 - 91.58 CFM,0 - 24.8 dB,Yes,84.95
