Name,URL,Image,Type,Interface,Capacity,Price / GB,Color,Price
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/3MQKHx/apricorn-aegis-fortress-l3-20-tb-external-ssd-afl3-s20tb,https://cdna.pcpartpicker.com/static/forever/images/product/6f85911d66b387874e4d15cd1e055d89.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",20000 GB,$0.608,Black,12154.99
Western Digital My Book Duo,https://pcpartpicker.com/product/2rsV3C/western-digital-my-book-duo-44-tb-external-hard-drive-wdbfbe0440jbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/79382e732eb79c802239d346232806dd.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",44000 GB,$0.029,Black,1264.99
Apricorn Aegis Fortress L3,https://pcpartpicker.com/product/KdP8TW/apricorn-aegis-fortress-l3-4-tb-external-ssd-afl3-s4tb,https://cdna.pcpartpicker.com/static/forever/images/product/a42bec9d46b3fb1eeb286c055e3173cd.256p.jpg,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000 GB,$0.401,Black,1602.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/9xL7YJ/western-digital-elements-1tb-external-hard-drive-wdbuzg0010bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/acfde8636e38895fef73b5643a6b8c8f.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.080,,79.99
Western Digital WD_BLACK P10,https://pcpartpicker.com/product/dYdrxr/western-digital-wd_black-p10-5-tb-external-hard-drive-wdba3a0050bbk-wesn,https://cdna.pcpartpicker.com/static/forever/images/product/54c824b6d7b74a8c35f60f0f9353e05d.256p.jpg,Portable,USB Type-A 3.2 Gen 1,5000 GB,$0.030,Black,149.99
Western Digital My Book Duo,https://pcpartpicker.com/product/hvytt6/western-digital-my-book-duo-36-tb-external-hard-drive-wdbfbe0360jbknesn,https://cdna.pcpartpicker.com/static/forever/images/product/79382e732eb79c802239d346232806dd.256p.jpg,Desktop,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",36000 GB,$0.030,Black,1064.99
Western Digital ELEMENTS,https://pcpartpicker.com/product/hy9nTW/western-digital-elements-16-tb-external-hard-drive-wdbwlg0160hbk-nesn,https://cdna.pcpartpicker.com/static/forever/images/product/341677c69ea9f9175a501ca9445ce554.256p.jpg,Desktop,USB Type-A 3.2 Gen 1,16000 GB,$0.020,Black,319.99
Seagate Portable Drive,https://pcpartpicker.com/product/BrYfrH/seagate-portable-drive-1-tb-external-hard-drive-stgx1000400,https://cdna.pcpartpicker.com/static/forever/images/product/a92e47ca06e863bbdc7ee522c4c53d38.256p.jpg,Portable,USB Type-A 3.2 Gen 1,1000 GB,$0.080,Black,79.98
Seagate Expansion,https://pcpartpicker.com/product/jXH48d/seagate-external-hard-drive-steb4000100,https://m.media-amazon.com/images/I/41+eWDIzOlL.jpg,Desktop,USB Type-A 3.2 Gen 1,4000 GB,$0.049,,194.99
Samsung T5 EVO Portable,https://pcpartpicker.com/product/bxNYcf/samsung-t5-evo-portable-8-tb-external-ssd-mu-ph8t0sam,https://cdna.pcpartpicker.com/static/forever/images/product/e59e18d45f84834f029764bc2ff4c3cf.256p.jpg,Portable,USB Type-C 3.2 Gen 1,8000 GB,$0.124,Black,995.00
