Name,URL,Image,Channels,Channel Wattage,PWM (4-Pin),Form Factor,Color,Price
ARCTIC Case Fan Hub,https://pcpartpicker.com/product/cyNYcf/arctic-case-fan-hub-fan-controller-acfan00175a,https://cdna.pcpartpicker.com/static/forever/images/product/efadfdb330778f08668a183b3932948f.256p.jpg,10,,Yes,Internal,Black,9.43
Razer RZ34-02140700-R3M1,https://pcpartpicker.com/product/Nrstt6/razer-rz34-02140700-r3m1-fan-controller-rz34-02140700-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/ab2043638e65519e544de947a22adfb3.256p.jpg,8,,Yes,Internal,Black,49.99
Lian Li UNI HUB – SL Controller,https://pcpartpicker.com/product/2YMMnQ/lian-li-uni-hub-sl-controller-fan-controller-uf-in-l-connect3-wt,https://m.media-amazon.com/images/I/31iKOtbksqL.jpg,4,,Yes,Internal,Black,
NZXT RGB &amp; Fan Controller (2022),https://pcpartpicker.com/product/vB8bt6/nzxt-rgb-fan-controller-2022-fan-controller-ac-crfr0-b1,https://cdna.pcpartpicker.com/static/forever/images/product/84c5c9ec20981b5cc9958c9f2c3faecd.256p.jpg,3,36 W,Yes,Internal,Black,34.99
Noctua NA-FH1,https://pcpartpicker.com/product/mHYRsY/noctua-na-fh1-fan-controller-na-fh1,https://m.media-amazon.com/images/I/41h0qQpQ5IL.jpg,8,6 W,Yes,Internal,Black,36.95
Thermalright TL-FAN and ARGB HUB x8,https://pcpartpicker.com/product/wfLdnQ/thermalright-tl-fan-and-argb-hub-x8-fan-controller-tl-fan-and-argb-hub-x8,https://cdna.pcpartpicker.com/static/forever/images/product/0fe563f978f6ca22fc4986657257b95e.256p.jpg,4,,Yes,Internal,Black,
Noctua NV-FH2,https://pcpartpicker.com/product/s96NnQ/noctua-nv-fh2-fan-controller-nv-fh2,https://cdna.pcpartpicker.com/static/forever/images/product/8f1b6e255d2c645d43fb2115a78ea164.256p.jpg,8,,Yes,Internal,Black,49.95
DARKROCK DR-FAN-CONTROLLER,https://pcpartpicker.com/product/NbxTwP/darkrock-dr-fan-controller-fan-controller-dr-fan-controller,https://m.media-amazon.com/images/I/41H2cTfEV2L.jpg,10,,Yes,Internal,Black,13.99
Thermalright TL-FAN-HUB-Controller,https://pcpartpicker.com/product/DzV2FT/thermalright-tl-fan-hub-controller-fan-controller-tl-fan-hub-controller,https://m.media-amazon.com/images/I/31KTmDgxDIL.jpg,4,,Yes,Internal,Black,10.59
Fractal Design Adjust Pro Hub,https://pcpartpicker.com/product/ktdMnQ/fractal-design-adjust-pro-hub-fan-controller-fd-a-aph1-001,https://cdna.pcpartpicker.com/static/forever/images/product/d623f65b1799b293a23e0a09468adfa8.256p.jpg,4,,Yes,Internal,Black,39.99
Lian Li UNI HUB – SLV2 Controller,https://pcpartpicker.com/product/kjh2FT/lian-li-uni-hub-slv2-controller-fan-controller-12slv2-cont3b,https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg,4,,Yes,Internal,Black,
Cooler Master MasterFan ARGB and PWM HUB,https://pcpartpicker.com/product/7dzp99/cooler-master-masterfan-argb-and-pwm-hub-fan-controller-mfx-zhhn-1nnn6-r1,https://m.media-amazon.com/images/I/41hXNkuQvBL.jpg,6,,Yes,Internal,Black,
Lian Li UNI HUB – SLV2 Controller,https://pcpartpicker.com/product/rmBFf7/lian-li-uni-hub-slv2-controller-fan-controller-12slv2-cont3w,https://m.media-amazon.com/images/I/21uyqG+P5pL.jpg,4,,Yes,Internal,White,
Thermaltake Commander FT,https://pcpartpicker.com/product/XnnG3C/thermaltake-commander-ft-fan-controller-ac-010-b51nan-a1,https://m.media-amazon.com/images/I/41Vdr3fyD9L.jpg,5,10 W,Yes,"5.25""",,54.98
Deepcool FH-04,https://pcpartpicker.com/product/9DWJ7P/deepcool-fh-04-fan-controller-dp-f04pwm-hub,https://cdna.pcpartpicker.com/static/forever/images/product/9835ea94302c8b39b2509f01934b4ee6.256p.jpg,4,,Yes,Internal,Black,
Thermalright TL-FAN-HUB Controller Rev.A,https://pcpartpicker.com/product/MYZXsY/thermalright-tl-fan-hub-controller-reva-fan-controller-tl-fan-hub-controller-reva,https://m.media-amazon.com/images/I/317zN4lvvkL.jpg,10,,Yes,Internal,Black,
EZDIY-FAB US-12V 5V fan hub-16P,https://pcpartpicker.com/product/FpVfrH/ezdiy-fab-us-12v-5v-fan-hub-16p-fan-controller-us-12v-5v-fan-hub-16p,https://m.media-amazon.com/images/I/312S8ZuGVCL.jpg,8,,Yes,Internal,Black,23.99
