Name,URL,Image,BD,DVD,CD,BD Write,DVD Write,CD Write,Price
LG BH16NS40,https://pcpartpicker.com/product/WXK7YJ/lg-bh16ns40-blu-raydvdcd-writer-bh16ns40,https://cdna.pcpartpicker.com/static/forever/images/product/d0152119d2618d6ea1662eafa763e9f1.256p.jpg,12,16,48,16/12/2/-,16/8/8/16/6/8/5,48/24,
Lite-On iHAS124-14,https://pcpartpicker.com/product/6fJwrH/lite-on-optical-drive-ihas12414,https://cdna.pcpartpicker.com/static/forever/images/product/1c0c6739ed6544996749709d5555442a.med.256p.jpg,,16,48,,24/8/8/24/6/8/5,48/24,42.89
LG WH14NS40,https://pcpartpicker.com/product/z2dqqs/lg-optical-drive-wh14ns40,https://cdna.pcpartpicker.com/static/forever/images/product/f01ff4c3a2b299c6c8ee623bab52413b.256p.jpg,12,16,48,14/12/2/2,16/8/8/16/6/8/5,48/24,
Asus BW-16D1HT,https://pcpartpicker.com/product/qHdqqs/asus-optical-drive-bw16d1ht,https://cdna.pcpartpicker.com/static/forever/images/product/84369136093ebb9b87331107edd2b211.256p.jpg,12,16,48,16/12/2/2,16/8/8/16/6/8/5,48/24,
Asus DRW-24F1ST,https://pcpartpicker.com/product/wT2kcf/asus-optical-drive-drw24f1st,https://m.media-amazon.com/images/I/31JEMLzzhtL.jpg,,16,48,,24/8/8/24/6/8/5,48/24,68.98
Asus DRW-24B1ST/BLK/B/AS,https://pcpartpicker.com/product/2v9KHx/asus-optical-drive-drw24b1stblkbas,https://cdna.pcpartpicker.com/static/forever/images/product/6f533c54d93b7bd4228c572edab0748c.256p.jpg,,16,48,,24/8/12/24/6/12/12,48/32,
LG BU40N,https://pcpartpicker.com/product/WCmNnQ/lg-bu40n-blu-raydvdcd-writer-bu40n,https://cdna.pcpartpicker.com/static/forever/images/product/1e666affd5018e87920154a7b454f3d6.256p.jpg,,,,6/6/2/6,8/8/6/8/6/6/5,24/16,129.99
LG GH24NSD5,https://pcpartpicker.com/product/tDrmP6/lg-gh24nsd5-dvdcd-writer-gh24nsd5,https://cdna.pcpartpicker.com/static/forever/images/product/ee4cd07587af9f2e4deb310a780677ea.256p.jpg,,16,48,,24/8/12/8/6/12/12,48/24,
Plextor PX-891SAF,https://pcpartpicker.com/product/k68H99/plextor-px-891saf-dvdcd-writer-px-891saf,https://m.media-amazon.com/images/I/31liZUVKCwL.jpg,,16,48,,24/8/12/24/6/12/12,48/32,44.95
Lite-On iHAS124-04,https://pcpartpicker.com/product/xNmLrH/lite-on-optical-drive-ihas124-04,https://m.media-amazon.com/images/I/31V9+HnKAuL.jpg,,16,48,,24/8/8/24/6/-/12,48/32,
