Name,URL,Image,Amount,Price
ARCTIC MX-6,https://pcpartpicker.com/product/k2pzK8/arctic-mx-6-4-g-thermal-paste-actcp00080a,https://cdna.pcpartpicker.com/static/forever/images/product/3d165b90f17f4124d08ce51bde755da4.256p.jpg,4 g,5.99
Prolimatech PK-Zero,https://pcpartpicker.com/product/9skwrH/prolimatech-thermal-paste-propkzero600g,https://cdna.pcpartpicker.com/static/forever/images/product/84779660db3a09225f66c3067b0e62e5.256p.jpg,600 g,194.18
Thermal Grizzly Kryonaut,https://pcpartpicker.com/product/XHqbt6/thermal-grizzly-kryonaut-1-g-thermal-paste-tg-k-001-rs,https://cdna.pcpartpicker.com/static/forever/images/product/e6d57f462cf826fea2ece98cc59b334e.256p.jpg,1 g,8.99
Arctic Silver 5 High-Density Polysynthetic Silver,https://pcpartpicker.com/product/6RrG3C/arctic-silver-thermal-paste-as535g,https://cdna.pcpartpicker.com/static/forever/images/product/0717918950a454120e59f23fee37077b.256p.jpg,3.5 g,11.99
Thermal Grizzly Kryonaut Extreme,https://pcpartpicker.com/product/J7Tp99/thermal-grizzly-kryonaut-extreme-2-g-thermal-paste-tg-ke-002-r,https://cdna.pcpartpicker.com/static/forever/images/product/7531e7bdc184bb0d6ecc992b453419cc.256p.jpg,2 g,21.99
ARCTIC MX-4 (2019),https://pcpartpicker.com/product/JmYLrH/arctic-mx-4-2019-4-g-thermal-paste-actcp00002b,https://cdna.pcpartpicker.com/static/forever/images/product/4e73c6b1d3705d74d0e07371664984ce.256p.jpg,4 g,5.49
Corsair TM30,https://pcpartpicker.com/product/dfzkcf/corsair-tm30-thermal-paste-ct-9010001-ww,https://cdna.pcpartpicker.com/static/forever/images/product/14a3a5b1e8a59df6eea1e78e186c460b.256p.jpg,3 g,7.88
ARCTIC MX-7,https://pcpartpicker.com/product/QZCCmG/arctic-mx-7-8-g-thermal-paste-actcp00091a,https://cdna.pcpartpicker.com/static/forever/images/product/756d48e0ad964e9a35e19c07758d1b06.256p.jpg,8 g,8.59
Thermal Grizzly Duronaut,https://pcpartpicker.com/product/q7RnTW/thermal-grizzly-duronaut-2-g-thermal-paste-tg-d-002-r,https://cdna.pcpartpicker.com/static/forever/images/product/ed45f7cb870c9dd8de74f7c9398a68e6.256p.jpg,2 g,9.99
Thermal Grizzly Duronaut,https://pcpartpicker.com/product/KGPv6h/thermal-grizzly-duronaut-6-g-thermal-paste-tg-d-006-r,https://cdna.pcpartpicker.com/static/forever/images/product/7078ce8b4adb1e9f043d28192a9055df.256p.jpg,6 g,19.98
Thermal Grizzly Kryonaut Extreme,https://pcpartpicker.com/product/NLRwrH/thermal-grizzly-kryonaut-extreme-3384-g-thermal-paste-tg-ke-090-r-2,https://m.media-amazon.com/images/I/41KnDwOoqVL.jpg,33.84 g,94.99
Noctua NT-H2,https://pcpartpicker.com/product/XYndnQ/noctua-nt-h2-35-g-thermal-paste-nt-h2-35g,https://cdna.pcpartpicker.com/static/forever/images/product/a365e986bc44fb0d6da4c21f861d6656.256p.jpg,3.5 g,14.95
Corsair XTM70,https://pcpartpicker.com/product/rhWzK8/corsair-xtm70-3-g-thermal-paste-ct-9010010-ww,https://cdna.pcpartpicker.com/static/forever/images/product/a44b079d6e5b02f134f8e61dd10882f6.256p.jpg,3 g,19.98
Thermal Grizzly Polartherm X-8,https://pcpartpicker.com/product/qymNnQ/thermal-grizzly-polartherm-x-8-2-g-thermal-paste-pt-x8-002,https://m.media-amazon.com/images/I/111MYhnFP3L.jpg,2 g,4.49
ARCTIC MX-7 with MX Cleaner,https://pcpartpicker.com/product/FGYfrH/arctic-mx-7-with-mx-cleaner-4-g-thermal-paste-actcp00092a,https://m.media-amazon.com/images/I/31yHHyXSBHL.jpg,4 g,9.58
Thermal Grizzly Conductonaut Extreme,https://pcpartpicker.com/product/fXGhP6/thermal-grizzly-conductonaut-extreme-5-g-thermal-paste-s-tg-ce-005-r,https://m.media-amazon.com/images/I/31QZKZAlfOL.jpg,5 g,49.99
ARCTIC MX-6,https://pcpartpicker.com/product/x8LFf7/arctic-mx-6-2-g-thermal-paste-actcp00079a,https://cdna.pcpartpicker.com/static/forever/images/product/3681993b0a4ab1f34d6443f7995ca535.256p.jpg,2 g,5.49
Noctua NT-H1,https://pcpartpicker.com/product/sX4gXL/noctua-thermal-paste-nth1,https://cdna.pcpartpicker.com/static/forever/images/product/043742a8a65ba42c83b9a3ba5a3c2d47.256p.jpg,3.5 g,8.94
