Name,URL,Image,Capacity (W),Capacity (VA),Price
APC SURT20KRMXLT,https://pcpartpicker.com/product/fzM323/apc-surt20krmxlt-ups-surt20krmxlt,https://cdna.pcpartpicker.com/static/forever/images/product/6bea31cad2001dc918713df512e8a9cb.256p.jpg,16000 W,20000 VA,26510.99
CyberPower CP1500PFCLCD,https://pcpartpicker.com/product/qvVBD3/cyberpower-cp1500pfclcd-ups-cp1500pfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/078953894c00f76b8090ff4ca3179bab.256p.jpg,1000 W,1500 VA,239.95
APC SRT10KXLT,https://pcpartpicker.com/product/w4Crxr/apc-ups-srt10kxlt,https://cdna.pcpartpicker.com/static/forever/images/product/c3b215c34cb999dcc7d7323e8152258a.256p.jpg,10000 W,10000 VA,6015.00
CyberPower PR3000LCDSL,https://pcpartpicker.com/product/D9Wrxr/cyberpower-ups-pr3000lcdsl,https://cdna.pcpartpicker.com/static/forever/images/product/7142d0bd28c42ee4839e594ebc6cd937.256p.jpg,2700 W,3000 VA,1292.95
CyberPower CP1500AVRLCD,https://pcpartpicker.com/product/69Wrxr/cyberpower-ups-cp1500avrlcd,https://m.media-amazon.com/images/I/31Q2DbszgmL.jpg,900 W,1500 VA,199.95
APC Back-UPS 1500,https://pcpartpicker.com/product/KHMwrH/apc-back-ups-1500-ups-bx1500m,https://cdna.pcpartpicker.com/static/forever/images/product/33a78d53b1611aabb73b3048fb3dc5c4.256p.jpg,900 W,1500 VA,189.99
CyberPower ST425,https://pcpartpicker.com/product/LZGnTW/cyberpower-st425-ups-st425,https://cdna.pcpartpicker.com/static/forever/images/product/aeae11bde355b776ae9b00e1abc0098e.256p.jpg,260 W,425 VA,59.95
APC SRT10KRMXLI,https://pcpartpicker.com/product/CRGj4D/apc-ups-srt10krmxli,https://cdna.pcpartpicker.com/static/forever/images/product/3e1c60eaeecf8d9b333f2b5dfb7b952e.256p.jpg,10000 W,10000 VA,
APC Back-UPS Pro 1500S,https://pcpartpicker.com/product/Yf92FT/apc-back-ups-pro-1500s-ups-br1500ms2,https://cdna.pcpartpicker.com/static/forever/images/product/12bac3884cccb9f302b43d72d5f571b4.256p.jpg,900 W,1500 VA,286.22
APC SRT10KXLI,https://pcpartpicker.com/product/MWX2FT/apc-ups-srt10kxli,https://cdna.pcpartpicker.com/static/forever/images/product/33b950d5017e8445ba83c0cbb496cf60.256p.jpg,10000 W,10000 VA,
CyberPower PR2200LCDSL,https://pcpartpicker.com/product/Nd648d/cyberpower-ups-pr2200lcdsl,https://cdna.pcpartpicker.com/static/forever/images/product/eb7df207e834f46f0e0d25387617fb72.256p.jpg,1980 W,2070 VA,942.95
APC Back-UPS Pro 1500VA,https://pcpartpicker.com/product/gXjBD3/apc-back-ups-pro-1500va-ups-bn1500m2,https://cdna.pcpartpicker.com/static/forever/images/product/4249ecd58d1bee96be1c7c2f46ad1120.256p.jpg,900 W,1500 VA,189.99
CyberPower CST135XLU,https://pcpartpicker.com/product/zZTZxr/cyberpower-cst135xlu-ups-cst135xlu,https://cdna.pcpartpicker.com/static/forever/images/product/746ede7773383ef5596f35ab84d5daeb.256p.jpg,810 W,1350 VA,119.99
CyberPower CP1000PFCLCD,https://pcpartpicker.com/product/thqbt6/cyberpower-ups-cp1000pfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/e43140a56296f6d89ee1e522f941baef.256p.jpg,600 W,1000 VA,179.95
CyberPower CP1500AVRLCD3,https://pcpartpicker.com/product/GRjBD3/cyberpower-cp1500avrlcd3-ups-cp1500avrlcd3,https://cdna.pcpartpicker.com/static/forever/images/product/1880ffc797c61028860953ad0d409a65.256p.jpg,900 W,1500 VA,199.95
CyberPower PR3000LCD,https://pcpartpicker.com/product/G9Wrxr/cyberpower-ups-pr3000lcd,https://cdna.pcpartpicker.com/static/forever/images/product/3a33c960debb6b22918fb5c6eef8d3b3.256p.jpg,2700 W,3000 VA,1848.95
APC Back-UPS Pro 700VA,https://pcpartpicker.com/product/zxYWGX/apc-back-ups-pro-700va-ups-br700g,https://cdna.pcpartpicker.com/static/forever/images/product/133882572a2ee61257384a359f502fb0.256p.jpg,420 W,700 VA,162.49
CyberPower UT850EG,https://pcpartpicker.com/product/s9KnTW/cyberpower-ut850eg-ups-ut850eg,https://m.media-amazon.com/images/I/31SqqnL8KmS.jpg,425 W,850 VA,
CyberPower PR1500LCD,https://pcpartpicker.com/product/zQVBD3/cyberpower-ups-pr1500lcd,https://cdna.pcpartpicker.com/static/forever/images/product/69f9dec685bf760d08714f52d876c98b.256p.jpg,1050 W,1500 VA,700.95
CyberPower AVRG750U,https://pcpartpicker.com/product/HHNypg/cyberpower-ups-avrg750u,https://cdna.pcpartpicker.com/static/forever/images/product/4a86b31e4035444b746ccdd968195bc0.256p.jpg,450 W,750 VA,119.95
APC BE600M1,https://pcpartpicker.com/product/FLLFf7/apc-be600m1-ups-be600m1,https://cdna.pcpartpicker.com/static/forever/images/product/382cab7e6ab007688435b6841ea2a9c7.256p.jpg,330 W,600 VA,83.99
Tripp Lite SMX1500XLRT2U,https://pcpartpicker.com/product/2KZ2FT/tripp-lite-ups-smx1500xlrt2u,https://m.media-amazon.com/images/I/31IxETDt8vL.jpg,1350 W,1500 VA,444.06
APC Back-UPS Pro 1500,https://pcpartpicker.com/product/ksJkcf/apc-back-ups-pro-1500-ups-br1500g,https://cdna.pcpartpicker.com/static/forever/images/product/b5ce970ee23c5b6a3b0de4cf7bbf756c.256p.jpg,865 W,1500 VA,311.99
APC SRT8KRMXLI,https://pcpartpicker.com/product/pPs8TW/apc-ups-srt8krmxli,https://cdna.pcpartpicker.com/static/forever/images/product/514f8d21ba44066ca898643b6699b1fc.256p.jpg,8000 W,8000 VA,
APC Back-UPS Pro 1000S,https://pcpartpicker.com/product/nCPgXL/apc-back-ups-pro-1000s-ups-br1000ms,https://cdna.pcpartpicker.com/static/forever/images/product/eaa382977827e97a858670df81386016.256p.jpg,600 W,1000 VA,190.26
APC SRT5KXLI,https://pcpartpicker.com/product/s3FXsY/apc-ups-srt5kxli,https://cdna.pcpartpicker.com/static/forever/images/product/4adb78b26460c0c08843d048fa112cd4.256p.jpg,4500 W,5000 VA,4200.00
APC Back-UPS Pro 1500VA for Gaming,https://pcpartpicker.com/product/6DRYcf/apc-back-ups-pro-1500va-for-gaming-ups-bgm1500b,https://cdna.pcpartpicker.com/static/forever/images/product/774bcb534b6c72c2ed4780de5580a46f.256p.jpg,900 W,1500 VA,
APC BE850G2,https://pcpartpicker.com/product/8Pnypg/apc-be850g2-ups-be850g2,https://cdna.pcpartpicker.com/static/forever/images/product/bc2e682e43cc8438de2853653977fd18.256p.jpg,450 W,850 VA,135.00
CyberPower OR2200PFCRT2U,https://pcpartpicker.com/product/nzM323/cyberpower-ups-or2200pfcrt2u,https://cdna.pcpartpicker.com/static/forever/images/product/3117e2fc4d2e0fab0a32d214f3af2a2e.256p.jpg,1320 W,2000 VA,740.95
APC Back-UPS Pro 1500VA for Gaming,https://pcpartpicker.com/product/WtD7YJ/apc-back-ups-pro-1500va-for-gaming-ups-bgm1500,https://cdna.pcpartpicker.com/static/forever/images/product/400d218a781bd3da28da9b30bed48923.256p.jpg,900 W,1500 VA,316.00
CyberPower CP550SLG,https://pcpartpicker.com/product/tzM323/cyberpower-ups-cp550slg,https://cdna.pcpartpicker.com/static/forever/images/product/ed29aa3b751380a0fdee7491fcaa4569.256p.jpg,330 W,550 VA,77.95
PowerWalker Basic VI 2200 STL UK,https://pcpartpicker.com/product/rY26Mp/powerwalker-basic-vi-2200-stl-uk-ups-10121089,https://m.media-amazon.com/images/I/41pcXpGiadL.jpg,1320 W,2200 VA,
Tripp Lite SMART2200VS,https://pcpartpicker.com/product/YPs8TW/tripp-lite-ups-smart2200vs,https://m.media-amazon.com/images/I/418VGi0ozhL.jpg,1600 W,2200 VA,1189.33
APC SUA5000RMI5U,https://pcpartpicker.com/product/8BPzK8/apc-ups-sua5000rmi5u,https://cdna.pcpartpicker.com/static/forever/images/product/8d0130abb602be90287b83f7b281f3de.256p.jpg,4000 W,5000 VA,9881.99
APC BR1500GI,https://pcpartpicker.com/product/N7hj4D/apc-ups-br1500gi,https://cdna.pcpartpicker.com/static/forever/images/product/acc4926cb18aba188ee11f4f2be62c86.256p.jpg,865 W,1500 VA,
APC SMX3000RMHV2UNC,https://pcpartpicker.com/product/PTH48d/apc-ups-smx3000rmhv2unc,https://cdna.pcpartpicker.com/static/forever/images/product/6c4c2535d87eda2f6be91e075152901b.256p.jpg,2700 W,3000 VA,2144.92
CyberPower PFC Sinewave CP1500PFCRM2U,https://pcpartpicker.com/product/Bp3WGX/cyberpower-pfc-sinewave-cp1500pfcrm2u-ups-cp1500pfcrm2u,https://cdna.pcpartpicker.com/static/forever/images/product/053840798fac976018a8d7e8605cbf6e.256p.jpg,1000 W,1500 VA,359.95
APC SMX3000HVNC,https://pcpartpicker.com/product/gf8H99/apc-ups-smx3000hvnc,https://cdna.pcpartpicker.com/static/forever/images/product/839c99d9da7467947b4eee961e549713.256p.jpg,2700 W,3000 VA,3429.00
CyberPower CP1000AVRLCD,https://pcpartpicker.com/product/2Ps8TW/cyberpower-ups-cp1000avrlcd,https://m.media-amazon.com/images/I/31DlLYCaalL.jpg,600 W,1000 VA,175.95
CyberPower EC850LCD,https://pcpartpicker.com/product/kYrcCJ/cyberpower-ups-ec850lcd,https://cdna.pcpartpicker.com/static/forever/images/product/8923665312e7dee0382745985741d46b.256p.jpg,510 W,850 VA,119.95
CyberPower PR5000LCDRTXL5U,https://pcpartpicker.com/product/c8KhP6/cyberpower-ups-pr5000lcdrtxl5u,https://cdna.pcpartpicker.com/static/forever/images/product/00091337c8c0e559c20707bf535993bb.256p.jpg,4000 W,5000 VA,4520.59
CyberPower OR2200LCDRT2U,https://pcpartpicker.com/product/hf8H99/cyberpower-ups-or2200lcdrt2u,https://cdna.pcpartpicker.com/static/forever/images/product/09ce8edf8c43529b15e612557cf994ca.256p.jpg,1320 W,2000 VA,665.95
CyberPower CP1350PFCLCD,https://pcpartpicker.com/product/g6X2FT/cyberpower-cp1350pfclcd-ups-cp1350pfclcd,https://cdna.pcpartpicker.com/static/forever/images/product/3113c0dbdcb2e2397383f1ad59845b6e.256p.jpg,810 W,1350 VA,219.95
VERTIV Liebert PST5,https://pcpartpicker.com/product/4GdMnQ/vertiv-liebert-pst5-ups-pst5-500mt120,https://cdna.pcpartpicker.com/static/forever/images/product/a19122ba151f9ab48630835cc52fae6d.256p.jpg,300 W,500 VA,67.37
CyberPower LX1500GU-FC,https://pcpartpicker.com/product/xKkj4D/cyberpower-lx1500gu-fc-ups-lx1500gu-fc,https://cdna.pcpartpicker.com/static/forever/images/product/bdacef35d41a3434294ce408444195c2.256p.jpg,900 W,1500 VA,
APC BE550G,https://pcpartpicker.com/product/KRGj4D/apc-ups-be550g,https://cdna.pcpartpicker.com/static/forever/images/product/c97ef91a701687c436d41adb128fe47f.256p.jpg,330 W,550 VA,95.11
Trust Paxxon,https://pcpartpicker.com/product/tbh2FT/trust-paxxon-ups-23505,https://m.media-amazon.com/images/I/31cIhCvvnDL.jpg,900 W,1500 VA,
APC SMT2200I,https://pcpartpicker.com/product/zVYWGX/apc-ups-smt2200i,https://cdna.pcpartpicker.com/static/forever/images/product/08cff09ed427352820dae9a077476253.256p.jpg,1980 W,2200 VA,
APC Back-UPS 1000,https://pcpartpicker.com/product/v6kWGX/apc-back-ups-1000-ups-bx1000m,https://cdna.pcpartpicker.com/static/forever/images/product/be6a5d64657fe8d918658059884e1b02.256p.jpg,600 W,1000 VA,180.08
APC SRT5KRMXLI,https://pcpartpicker.com/product/dhqbt6/apc-ups-srt5krmxli,https://cdna.pcpartpicker.com/static/forever/images/product/76c0fb7a57953113c83c9684d4e777fc.256p.jpg,4500 W,5000 VA,4199.06
APC SRT8KXLI,https://pcpartpicker.com/product/hzM323/apc-ups-srt8kxli,https://cdna.pcpartpicker.com/static/forever/images/product/03bfe86f8f61cdbc0371b9da3f3fa52c.256p.jpg,8000 W,8000 VA,
APC SURTA3000XL,https://pcpartpicker.com/product/w2RFf7/apc-ups-surta3000xl,https://cdna.pcpartpicker.com/static/forever/images/product/07697b7f6a30b1a833461446bd44ebbe.256p.jpg,2100 W,3000 VA,3247.97
APC SRT10KRMXLT,https://pcpartpicker.com/product/DRGj4D/apc-ups-srt10krmxlt,https://cdna.pcpartpicker.com/static/forever/images/product/a79d728ddac8eef11e9fe4449813f407.256p.jpg,10000 W,10000 VA,5999.05
CyberPower LE1000DG,https://pcpartpicker.com/product/ybTZxr/cyberpower-le1000dg-ups-le1000dg,https://cdna.pcpartpicker.com/static/forever/images/product/70ce561475a7e97c0ff48fd192fde8d2.256p.jpg,530 W,1000 VA,139.99
Tripp Lite SMART1500PSGLCD,https://pcpartpicker.com/product/PFcG3C/tripp-lite-smart1500psglcd-ups-smart1500psglcd,https://cdna.pcpartpicker.com/static/forever/images/product/eb2c26503a472d4120ff8ef29dcadd8a.256p.jpg,900 W,1500 VA,314.93
Tripp Lite BC350,https://pcpartpicker.com/product/CjcMnQ/tripp-lite-ups-bc350,https://m.media-amazon.com/images/I/41GnsNNhLvL.jpg,180 W,350 VA,64.99
CyberPower PR2200LCD,https://pcpartpicker.com/product/4ccMnQ/cyberpower-ups-pr2200lcd,https://cdna.pcpartpicker.com/static/forever/images/product/ac08f8f11ce2ad99a55926499474760d.256p.jpg,1980 W,2200 VA,1569.95
APC SMT1500US,https://pcpartpicker.com/product/Z3FXsY/apc-ups-smt1500us,/static/forever/img/no-image.png,1000 W,1440 VA,
APC SMX1500RMI2UNC,https://pcpartpicker.com/product/Lm8H99/apc-ups-smx1500rmi2unc,https://cdna.pcpartpicker.com/static/forever/images/product/f2756b3b39e45b83c36910341b5f62ea.256p.jpg,1200 W,1500 VA,1329.99
