Name,URL,Image,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Price
AMD Ryzen 7 9800X3D,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg,8,4.7 GHz,5.2 GHz,Zen 5,120 W,Radeon,462.20
AMD Ryzen 7 7800X3D,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg,8,4.2 GHz,5 GHz,Zen 4,120 W,Radeon,368.99
AMD Ryzen 5 9600X,https://pcpartpicker.com/product/4r4Zxr/amd-ryzen-5-9600x-39-ghz-6-core-processor-100-100001405wof,https://cdna.pcpartpicker.com/static/forever/images/product/8a0df381931efb7323f458cfc42260f8.256p.jpg,6,3.9 GHz,5.4 GHz,Zen 5,65 W,Radeon,184.00
AMD Ryzen 5 5500,https://pcpartpicker.com/product/yq2WGX/amd-ryzen-5-5500-36-ghz-6-core-processor-100-100000457box,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,6,3.6 GHz,4.2 GHz,Zen 3,65 W,None,85.00
AMD Ryzen 9 9950X3D,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,https://cdna.pcpartpicker.com/static/forever/images/product/c091adac8120c424d3fcf03bec914302.256p.jpg,16,4.3 GHz,5.7 GHz,Zen 5,170 W,Radeon,675.49
AMD Ryzen 5 7600X,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,6,4.7 GHz,5.3 GHz,Zen 4,105 W,Radeon,176.00
AMD Ryzen 7 7700X,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg,8,4.5 GHz,5.4 GHz,Zen 4,105 W,Radeon,235.00
AMD Ryzen 5 5600,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,6,3.5 GHz,4.4 GHz,Zen 3,65 W,None,154.00
AMD Ryzen 5 5600X,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,6,3.7 GHz,4.6 GHz,Zen 3,65 W,None,183.00
AMD Ryzen 7 9850X3D,https://pcpartpicker.com/product/WKDnTW/amd-ryzen-7-9850x3d-47-ghz-8-core-processor-100-100001973wof,https://cdna.pcpartpicker.com/static/forever/images/product/26dbc0263d53e907355129f9e3131021.256p.jpg,8,4.7 GHz,5.6 GHz,Zen 5,120 W,Radeon,489.99
