Name,URL,Image,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Price
Montech XR,https://pcpartpicker.com/product/fc88TW/montech-xr-atx-mid-tower-case-xr-b,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,45.0 L,2,69.90
Phanteks XT PRO,https://pcpartpicker.com/product/zJWJ7P/phanteks-xt-pro-atx-mid-tower-case-ph-xt523p1-bk01,https://cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,51.8 L,2,49.99
Lian Li Vector V100R,https://pcpartpicker.com/product/gBzp99/lian-li-v100r-atx-mid-tower-case-v100rx,https://cdna.pcpartpicker.com/static/forever/images/product/33c1bd4bd2b68730e185a80a0b6e7750.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,53.2 L,1,74.98
Corsair 3500X ARGB,https://pcpartpicker.com/product/T8V2FT/corsair-3500x-argb-atx-mid-tower-case-cc-9011279-ww,https://cdna.pcpartpicker.com/static/forever/images/product/a740f5cb83faa73c1d8a62945833056e.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,55.9 L,2,119.99
NZXT H5 Flow (2024),https://pcpartpicker.com/product/bvTZxr/nzxt-h5-flow-2024-atx-mid-tower-case-cc-h52fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/640e44d6b2b0264413b089545b628d0a.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,45.0 L,1,84.99
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/9Q88TW/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpx,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,57.4 L,2,119.99
Lian Li O11 VISION COMPACT,https://pcpartpicker.com/product/7qKscf/lian-li-o11-vision-compact-atx-mid-tower-case-o11vpw,https://cdna.pcpartpicker.com/static/forever/images/product/2378ddd83c556329e01372a181d44328.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,57.4 L,2,124.99
HYTE Y70 Touch Infinite,https://pcpartpicker.com/product/Tvrqqs/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-ww,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,70.7 L,2,379.99
Fractal Design North,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,45.1 L,2,154.99
Cooler Master MasterBox Q300L,https://pcpartpicker.com/product/rnGxFT/cooler-master-masterbox-q300l-microatx-mini-tower-case-mcb-q300l-kann-s00,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg,MicroATX Mini Tower,Black,None,Acrylic,33.6 L,1,39.99
Lian Li O11 Dynamic Mini V2,https://pcpartpicker.com/product/Gtrp99/lian-li-o11-dynamic-mini-v2-atx-mini-tower-case-o11dmiv2x,https://cdna.pcpartpicker.com/static/forever/images/product/bf613e9d7fc5e9975f3e2609d985d9d9.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,45.4 L,2,79.99
Corsair FRAME 4000D RS ARGB,https://pcpartpicker.com/product/Mjy8TW/corsair-frame-4000d-rs-argb-atx-mid-tower-case-cc-9011296-ww,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,56.7 L,2,94.99
BGears b-Pellucid,https://pcpartpicker.com/product/m7bRsY/bgears-b-pellucid-microatx-mini-tower-case-bg01756,https://m.media-amazon.com/images/I/41-Ryd7oZuL.jpg,MicroATX Mini Tower,Black,None,Tinted Tempered Glass,36.6 L,1,32.99
Phanteks Eclipse G370A,https://pcpartpicker.com/product/nBFCmG/phanteks-eclipse-g370a-atx-mid-tower-case-ph-ec370a_dbk01,https://cdna.pcpartpicker.com/static/forever/images/product/bbff08990bf49c7db84fbbd100460516.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,48.7 L,0,47.98
HYTE Y70 Touch Infinite,https://pcpartpicker.com/product/Yp6NnQ/hyte-y70-touch-infinite-atx-mid-tower-case-cs-hyte-y70ti-bb,https://cdna.pcpartpicker.com/static/forever/images/product/6c34ad3e10021abab186c77e8fde0328.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,70.7 L,2,379.99
Lian Li A3-mATX,https://pcpartpicker.com/product/CjFmP6/lian-li-a3-matx-microatx-mini-tower-case-a3-matx-x,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg,MicroATX Mini Tower,Black,None,Mesh,26.3 L,1,69.99
Fractal Design North XL,https://pcpartpicker.com/product/Gd26Mp/fractal-design-north-xl-atx-full-tower-case-fd-c-nor1x-02,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg,ATX Full Tower,Black,None,Tinted Tempered Glass,61.4 L,2,194.97
Lian Li O11 Dynamic Mini V2,https://pcpartpicker.com/product/M2BFf7/lian-li-o11-dynamic-mini-v2-atx-mini-tower-case-o11dmiv2w,https://cdna.pcpartpicker.com/static/forever/images/product/b5bba2bf9953c73986a2b94c01e3a90e.256p.jpg,ATX Mid Tower,White,None,Tempered Glass,45.4 L,2,78.99
Lian Li O11D EVO RGB,https://pcpartpicker.com/product/qrXV3C/lian-li-o11d-evo-rgb-atx-mid-tower-case-o11dergbx,https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,65.3 L,4,159.99
Phanteks XT PRO ULTRA,https://pcpartpicker.com/product/BXtLrH/phanteks-xt-pro-ultra-atx-mid-tower-case-ph-xt523p1-dbk01,https://cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg,ATX Mid Tower,Black,None,Tempered Glass,51.8 L,2,69.99
NZXT H3 Flow,https://pcpartpicker.com/product/KyqNnQ/nzxt-h3-flow-microatx-mid-tower-case-cc-h31fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg,MicroATX Mid Tower,Black,None,Tinted Tempered Glass,35.0 L,1,59.99
Lian Li VECTOR V100R MINI,https://pcpartpicker.com/product/VFnXsY/lian-li-vector-v100r-mini-microatx-mid-tower-case-v100rmix,https://cdna.pcpartpicker.com/static/forever/images/product/6de2a66396686e0d8ae87631e46fc6b4.256p.jpg,MicroATX Mid Tower,Black,None,Tempered Glass,42.9 L,1,64.98
NZXT H9 Flow (2025),https://pcpartpicker.com/product/RNgZxr/nzxt-h9-flow-2025-atx-mid-tower-case-cm-h92fb-01,https://cdna.pcpartpicker.com/static/forever/images/product/0cda49e883ff1ea3cab69e0808746f27.256p.jpg,ATX Mid Tower,Black,None,Tinted Tempered Glass,76.7 L,2,119.99
