Name,URL,Image,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Price
Crucial Pro Overclocking 32 GB,https://pcpartpicker.com/product/QF9wrH/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cp2k16g60c36u5b,https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg,DDR5-6000,2 x 16GB,$12.156,Black,12 ns,36,389.00
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/kTJp99/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg,DDR5-6000,2 x 16GB,$11.562,Black,12 ns,36,369.99
Corsair Vengeance LPX 32 GB,https://pcpartpicker.com/product/W6ndnQ/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3200-memory-cmk32gx4m2e3200c16,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg,DDR4-3200,2 x 16GB,$6.875,Black / Yellow,10 ns,16,219.99
Corsair Vengeance LPX 16 GB,https://pcpartpicker.com/product/p6RFf7/corsair-memory-cmk16gx4m2b3200c16,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,DDR4-3200,2 x 8GB,$9.937,Black / Yellow,10 ns,16,158.99
G.Skill Flare X5 32 GB,https://pcpartpicker.com/product/pwxRsY/gskill-flare-x5-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-f5-6000j3636f16gx2-fx5,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg,DDR5-6000,2 x 16GB,$12.812,Black,12 ns,36,410.00
Corsair Vengeance RGB 16 GB,https://pcpartpicker.com/product/MJzXsY/corsair-vengeance-rgb-16-gb-2-x-8-gb-ddr5-5200-cl40-memory-cmh16gx5m2b5200c40,https://cdna.pcpartpicker.com/static/forever/images/product/9c711c2e20ef4adac880e44fe9fc13fe.256p.jpg,DDR5-5200,2 x 8GB,$15.624,Black / Gray,15.385 ns,40,249.99
Silicon Power GAMING 16 GB,https://pcpartpicker.com/product/P4FKHx/silicon-power-gaming-16-gb-2-x-8-gb-ddr4-3200-cl16-memory-sp016gxlzu320bdaj5,https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg,DDR4-3200,2 x 8GB,$7.436,Black / Gray,10 ns,16,118.97
Corsair Vengeance RGB 64 GB,https://pcpartpicker.com/product/WTMMnQ/corsair-vengeance-rgb-64-gb-2-x-32-gb-ddr5-6000-cl30-memory-cmh64gx5m2b6000c30,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg,DDR5-6000,2 x 32GB,$17.344,Black,10 ns,30,1109.99
Patriot Viper Elite 5 16 GB,https://pcpartpicker.com/product/G79nTW/patriot-viper-elite-5-16-gb-1-x-16-gb-ddr5-6000-cl30-memory-veb516g6030w,https://cdna.pcpartpicker.com/static/forever/images/product/982b9428595cdc64d19a034fcf0b7d3b.256p.jpg,DDR5-6000,1 x 16GB,$12.499,White,10 ns,30,199.99
Corsair Vengeance RGB 32 GB,https://pcpartpicker.com/product/KXV2FT/corsair-vengeance-rgb-32-gb-2-x-16-gb-ddr5-6000-cl36-memory-cmh32gx5m2e6000c36w,https://cdna.pcpartpicker.com/static/forever/images/product/1574b4ca51100d42eb00a882a6481427.256p.jpg,DDR5-6000,2 x 16GB,$11.562,White / Silver,12 ns,36,369.99
Crucial Pro Overclocking 32 GB,https://pcpartpicker.com/product/xVy8TW/crucial-pro-overclocking-32-gb-2-x-16-gb-ddr5-6400-cl32-memory-cp2k16g64c32u5b,https://m.media-amazon.com/images/I/41lunNC6OYL.jpg,DDR5-6400,2 x 16GB,$11.284,Black,10 ns,32,361.10
