Name,URL,Image,Screen Size,Resolution,Refresh Rate,Response Time (G2G),Panel Type,Aspect Ratio,Price
MSI MAG 275QF,https://pcpartpicker.com/product/4gGhP6/msi-mag-275qf-270-2560-x-1440-180-hz-monitor-mag-275qf,https://cdna.pcpartpicker.com/static/forever/images/product/57207990ab73d40707fd5756f9680995.256p.jpg,"27.0""",2560 x 1440,180 Hz,0.5 ms,IPS,16:9,179.99
Eizo ColorEdge ‎CG2700X,https://pcpartpicker.com/product/VcsV3C/eizo-coloredge-cg2700x-270-3840-x-2160-60-hz-monitor-cg2700x,https://cdna.pcpartpicker.com/static/forever/images/product/97580e38c1f8213fd47fd483b07fbc27.256p.jpg,"27.0""",3840 x 2160,60 Hz,13 ms,IPS,16:9,3394.00
Asus ROG Swift OLED PG32UCDM,https://pcpartpicker.com/product/TGYRsY/asus-rog-swift-oled-pg32ucdm-315-3840-x-2160-240-hz-monitor-pg32ucdm,https://cdna.pcpartpicker.com/static/forever/images/product/d835718847c1c4cec8da0a0542002b8d.256p.jpg,"31.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,1292.98
MSI MAG 244F,https://pcpartpicker.com/product/T8Pv6h/msi-mag-244f-238-1920-x-1080-200-hz-monitor-mag-244f,https://cdna.pcpartpicker.com/static/forever/images/product/d0a827405020c824617ca5b9f4155b8a.256p.jpg,"23.8""",1920 x 1080,200 Hz,0.5 ms,IPS,16:9,99.99
Samsung Odyssey Neo G95NC,https://pcpartpicker.com/product/3Rqrxr/samsung-odyssey-neo-g95nc-570-7680-x-2160-240-hz-curved-monitor-ls57cg952nnxza,https://cdna.pcpartpicker.com/static/forever/images/product/b80e393faab308fc44c584b2f2056a71.256p.jpg,"57.0""",7680 x 2160,240 Hz,1 ms,VA,32:9,1500.20
KOORUI 24E3,https://pcpartpicker.com/product/DqQKHx/koorui-24e3-240-1920-x-1080-165-hz-monitor-24e3,https://cdna.pcpartpicker.com/static/forever/images/product/62a0a3d374d373fe78df925242bd9951.256p.jpg,"24.0""",1920 x 1080,165 Hz,1 ms,IPS,16:9,119.99
Asus ROG Swift OLED PG27AQWP-W,https://pcpartpicker.com/product/dsrp99/asus-rog-swift-oled-pg27aqwp-w-270-2560-x-1440-540-hz-monitor-pg27aqwp-w,https://cdna.pcpartpicker.com/static/forever/images/product/cf681d3408aba584c7050c8b7ae304a0.256p.jpg,"27.0""",2560 x 1440,540 Hz,0.02 ms,WOLED,16:9,1099.00
MSI PRO MP225V,https://pcpartpicker.com/product/Ltkqqs/msi-pro-mp225v-214-1920-x-1080-100-hz-monitor-pro-mp225v,https://cdna.pcpartpicker.com/static/forever/images/product/b53208c8d0699d812c0d70f2621df3fd.256p.jpg,"21.4""",1920 x 1080,100 Hz,4 ms,VA,16:9,59.00
Asus TUF Gaming VG27AQ,https://pcpartpicker.com/product/pGqBD3/asus-tuf-gaming-vg27aq-270-2560x1440-165-hz-monitor-vg27aq,https://cdna.pcpartpicker.com/static/forever/images/product/16988d4e994d281aa599d856ecd9f8bd.256p.jpg,"27.0""",2560 x 1440,165 Hz,1 ms,IPS,16:9,253.15
AOC Agon PRO AG276QZD2,https://pcpartpicker.com/product/7LzXsY/aoc-agon-pro-ag276qzd2-267-2560-x-1440-240-hz-monitor-ag276qzd2,https://cdna.pcpartpicker.com/static/forever/images/product/3662446c0967fa592129931b0a745731.256p.jpg,"26.7""",2560 x 1440,240 Hz,0.03 ms,QD-OLED,16:9,449.99
Acer Acer Nitro XV272U W2bmiiprx,https://pcpartpicker.com/product/Lv4Zxr/acer-acer-nitro-xv272u-w2bmiiprx-270-2560-x-1440-240-hz-monitor-umhx2aa201,https://m.media-amazon.com/images/I/41yr+5P84JL.jpg,"27.0""",2560 x 1440,240 Hz,1 ms,IPS,16:9,199.99
Asus ROG Swift OLED PG27AQDP,https://pcpartpicker.com/product/xY4Zxr/asus-rog-swift-oled-pg27aqdp-265-2560-x-1440-480-hz-monitor-90lm0a20-b01ab0,https://cdna.pcpartpicker.com/static/forever/images/product/4e8850f1dbc11cb94248fe6d0bf59adc.256p.jpg,"26.5""",2560 x 1440,480 Hz,0.03 ms,OLED,16:9,796.13
Dell UP3218K,https://pcpartpicker.com/product/ZxBrxr/dell-up3218k-315-7680-x-4320-60-hz-monitor-up3218k,https://cdna.pcpartpicker.com/static/forever/images/product/d033ac72d7a1b3440f64bd9d9892fa49.256p.jpg,"31.5""",7680 x 4320,60 Hz,6 ms,IPS,16:9,
Asus TUF Gaming VG27AQ3A,https://pcpartpicker.com/product/CpNYcf/asus-tuf-gaming-vg27aq3a-270-2560-x-1440-180-hz-monitor-vg27aq3a,https://cdna.pcpartpicker.com/static/forever/images/product/098e71ab231767a13c79234c2dc73060.256p.jpg,"27.0""",2560 x 1440,180 Hz,1 ms,IPS,16:9,179.00
Samsung Odyssey OLED G80SD,https://pcpartpicker.com/product/2xpQzy/samsung-odyssey-oled-g80sd-320-3840-x-2160-240-hz-monitor-ls32dg802snxza,https://cdna.pcpartpicker.com/static/forever/images/product/530659e995053efaa33fb6ba2a114cb1.256p.jpg,"32.0""",3840 x 2160,240 Hz,0.03 ms,OLED,16:9,1299.99
MSI G242L E14,https://pcpartpicker.com/product/2HpD4D/msi-g242l-e14-238-1920-x-1080-144-hz-monitor-g242l-e14,https://m.media-amazon.com/images/I/41YCGBMo-vL.jpg,"23.8""",1920 x 1080,144 Hz,,IPS,16:9,84.99
Samsung Odyssey G55C,https://pcpartpicker.com/product/q4xxFT/samsung-odyssey-g55c-320-2560-x-1440-165-hz-curved-monitor-ls32cg552enxza,https://cdna.pcpartpicker.com/static/forever/images/product/cb65dd471a1ab1f6afbc805b90f79c53.256p.jpg,"32.0""",2560 x 1440,165 Hz,1 ms,VA,16:9,289.00
Samsung Odyssey OLED G93SC,https://pcpartpicker.com/product/tRHqqs/samsung-odyssey-oled-g93sc-490-5120-x-1440-240-hz-curved-monitor-ls49cg932snxza,https://cdna.pcpartpicker.com/static/forever/images/product/53a56c753fa1c507f9dc99ccf695f886.256p.jpg,"49.0""",5120 x 1440,240 Hz,0.03 ms,QD-OLED,32:9,1275.20
Asus ProArt Display PA32DC,https://pcpartpicker.com/product/WCH7YJ/asus-proart-display-pa32dc-315-3840-x-2160-60-hz-monitor-90lm06n0-b01ib0,https://m.media-amazon.com/images/I/51UumOf-BVL.jpg,"31.5""",3840 x 2160,60 Hz,0.1 ms,OLED,16:9,3149.00
Asus ROG Strix XG27AQDMG,https://pcpartpicker.com/product/mMsV3C/asus-rog-strix-xg27aqdmg-265-2560-x-1440-240-hz-monitor-xg27aqdmg,https://cdna.pcpartpicker.com/static/forever/images/product/c0ef2cf4b57c8a4147fedc7dea8fa022.256p.jpg,"26.5""",2560 x 1440,240 Hz,0.03 ms,WOLED,16:9,587.99
Asus ROG Swift OLED PG27UCDM,https://pcpartpicker.com/product/BFG2FT/asus-rog-swift-oled-pg27ucdm-265-3840-x-2160-240-hz-monitor-90lm0b30-b019b1,https://cdna.pcpartpicker.com/static/forever/images/product/76e496e5f5dae3cd68a2557c26b1328b.256p.jpg,"26.5""",3840 x 2160,240 Hz,0.03 ms,QD-OLED,16:9,1099.99
LG UltraGear G6 27G610A-B,https://pcpartpicker.com/product/Phrp99/lg-ultragear-g6-27g610a-b-270-2560-x-1440-200-hz-monitor-27g610a-b,https://cdna.pcpartpicker.com/static/forever/images/product/1ccdf63042992ee1b4b10574017584fe.256p.jpg,"27.0""",2560 x 1440,200 Hz,1 ms,IPS,16:9,239.46
LG UltraGear 24G411A-B,https://pcpartpicker.com/product/VN4Pxr/lg-ultragear-24g411a-b-240-1920-x-1080-144-hz-monitor-24g411a-b,https://cdna.pcpartpicker.com/static/forever/images/product/cbfa4b8ffb622157bd8936a6a74e7ab5.256p.jpg,"24.0""",1920 x 1080,144 Hz,5 ms,IPS,16:9,99.99
ViewSonic ELITE XG321UG,https://pcpartpicker.com/product/GMcgXL/viewsonic-elite-xg321ug-320-3840-x-2160-144-hz-monitor-xg321ug,https://cdna.pcpartpicker.com/static/forever/images/product/62e4019f9cafee8b2d77aa18033029a9.256p.jpg,"32.0""",3840 x 2160,144 Hz,3 ms,IPS,16:9,1967.51
LG UltraGear OLED 45GX950A-B,https://pcpartpicker.com/product/KMCCmG/lg-ultragear-oled-45gx950a-b-445-5120-x-2160-165-hz-curved-monitor-45gx950a-b,https://cdna.pcpartpicker.com/static/forever/images/product/1d26289992e61c698a2a6174601d22e8.256p.jpg,"44.5""",5120 x 2160,165 Hz,0.03 ms,OLED,64:27,1446.50
