Name,URL,Image,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Price
MSI MAG B850 TOMAHAWK MAX WIFI,https://pcpartpicker.com/product/vjpD4D/msi-mag-b850-tomahawk-max-wifi-atx-am5-motherboard-mag-b850-tomahawk-max-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg,AM5,ATX,256 GB,4,Black / Green,209.99
Asus B650E MAX GAMING WIFI W,https://pcpartpicker.com/product/QtnXsY/asus-b650e-max-gaming-wifi-w-atx-am5-motherboard-b650e-max-gaming-wifi-w,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg,AM5,ATX,256 GB,4,White,149.99
MSI B650 GAMING PLUS WIFI,https://pcpartpicker.com/product/szfxFT/msi-b650-gaming-plus-wifi-atx-am5-motherboard-b650-gaming-plus-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg,AM5,ATX,192 GB,4,Black,164.95
Asus PRIME B550M-A WIFI II,https://pcpartpicker.com/product/jQrRsY/asus-prime-b550m-a-wifi-ii-micro-atx-am4-motherboard-prime-b550m-a-wifi-ii,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg,AM4,Micro ATX,128 GB,4,Blue / Silver,98.99
Gigabyte B850 AORUS ELITE WIFI7,https://pcpartpicker.com/product/72RnTW/gigabyte-b850-aorus-elite-wifi7-atx-am5-motherboard-b850-aorus-elite-wifi7,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg,AM5,ATX,256 GB,4,Black,209.99
Asus TUF GAMING B650E-E WIFI,https://pcpartpicker.com/product/K8XMnQ/asus-tuf-gaming-b650e-e-wifi-atx-am5-motherboard-tuf-gaming-b650e-e-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/6e091a3954e7ac61e63a226aced54d9b.256p.jpg,AM5,ATX,256 GB,4,Black,175.00
Gigabyte B550 EAGLE WIFI6,https://pcpartpicker.com/product/fzNscf/gigabyte-b550-eagle-wifi6-atx-am4-motherboard-b550-eagle-wifi6,https://cdna.pcpartpicker.com/static/forever/images/product/9435af2197a80fcb37bc356ec9b83413.256p.jpg,AM4,ATX,128 GB,4,Black,99.99
Gigabyte B550M K,https://pcpartpicker.com/product/RH9wrH/gigabyte-b550m-k-micro-atx-am4-motherboard-b550m-k,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg,AM4,Micro ATX,128 GB,4,Brown / Silver,69.98
Gigabyte B850 EAGLE WIFI6E,https://pcpartpicker.com/product/Rf8Pxr/gigabyte-b850-eagle-wifi6e-atx-am5-motherboard-b850-eagle-wifi6e,https://cdna.pcpartpicker.com/static/forever/images/product/2a9181a93dc5c38ea219e25f07ff1322.256p.jpg,AM5,ATX,256 GB,4,Gray / Black,80.99
ASRock B850M Pro-A WiFi,https://pcpartpicker.com/product/FFdMnQ/asrock-b850m-pro-a-wifi-micro-atx-am5-motherboard-b850m-pro-a-wifi,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg,AM5,Micro ATX,256 GB,4,Black,119.99
