Name,URL,Image,Mode,Maximum Supported Memory,Price
Microsoft Windows 11 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/dKkWGX/microsoft-windows-11-home-oem-dvd-64-bit-kw9-00633,https://cdna.pcpartpicker.com/static/forever/images/product/ab7d4d98513e78fab6b0ca42894bda65.256p.jpg,64-bit,128 GB,119.99
Microsoft Windows 11 Pro OEM - DVD 64-bit,https://pcpartpicker.com/product/yjbTwP/microsoft-windows-11-pro-oem-dvd-64-bit-fqc-10529,https://cdna.pcpartpicker.com/static/forever/images/product/b06dd204711f15e712f892efcb1dd3df.256p.jpg,64-bit,2048 GB,146.76
Microsoft Windows 11 Home Retail - USB 64-bit,https://pcpartpicker.com/product/hMYmP6/microsoft-windows-11-home-retail-usb-64-bit-haj-00108,https://cdna.pcpartpicker.com/static/forever/images/product/ed2349ecd618439a2aa96364e9445138.256p.jpg,64-bit,128 GB,129.99
Microsoft Windows 11 Pro Retail - Download 64-bit,https://pcpartpicker.com/product/VCTp99/microsoft-windows-11-pro-retail-download-64-bit-fqc-10572,https://cdna.pcpartpicker.com/static/forever/images/product/5975493ee399fce8bc8df92e7acfbbe2.256p.jpg,64-bit,2048 GB,199.98
Microsoft Windows 11 Pro Retail - USB 64-bit,https://pcpartpicker.com/product/HxKKHx/microsoft-windows-11-pro-retail-usb-64-bit-hav-00162,https://cdna.pcpartpicker.com/static/forever/images/product/78f43eb1b5266ea1ad87edc95cb23ba1.256p.jpg,64-bit,2048 GB,188.99
Microsoft Windows 11 Home Retail - Download 64-bit,https://pcpartpicker.com/product/7ZpzK8/microsoft-windows-11-home-retail-download-64-bit-kw9-00664,https://cdna.pcpartpicker.com/static/forever/images/product/32b6fc00152158658990b62c8ab1e0d8.256p.jpg,64-bit,128 GB,119.99
Microsoft Windows 10 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/wtgPxr/microsoft-windows-10-home-oem-dvd-64-bit-kw9-00140,https://cdna.pcpartpicker.com/static/forever/images/product/f5e3c78aadf16d536c31b0fa088c8306.256p.jpg,64-bit,128 GB,
Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/M9GnTW/microsoft-windows-10-pro-retail-usb-3264-bit-hav-00059,https://cdna.pcpartpicker.com/static/forever/images/product/ec4467a1717895ddeee70be93f95e058.256p.jpg,32/64-bit,2048 GB,
Microsoft Windows 10 Home Retail - Download 32/64-bit,https://pcpartpicker.com/product/Mk648d/microsoft-windows-10-home-retail-download-3264-bit-kw9-00265,https://cdna.pcpartpicker.com/static/forever/images/product/4d7dbe8a84feb68bfcc7c867b56f9bf6.256p.jpg,32/64-bit,128 GB,139.99
Microsoft Windows 10 Home Retail - USB 32/64-bit,https://pcpartpicker.com/product/wskwrH/microsoft-windows-10-home-retail-usb-3264-bit-kw9-00016,https://cdna.pcpartpicker.com/static/forever/images/product/bd996c469da3cf1008cd9efc48a1f660.256p.jpg,32/64-bit,128 GB,
Microsoft Windows 10 Pro OEM - DVD 64-bit,https://pcpartpicker.com/product/MfH48d/microsoft-windows-10-pro-oem-dvd-64-bit-fqc-08930,https://cdna.pcpartpicker.com/static/forever/images/product/e2020af0d40a275d81e0eec3386efa7e.256p.jpg,64-bit,2048 GB,
Microsoft Windows 7 Home Premium Full 32/64-bit,https://pcpartpicker.com/product/nDR48d/microsoft-os-gfc00019,https://m.media-amazon.com/images/I/419-LjC5iFL.jpg,32/64-bit,16 GB,
Microsoft Windows 10 Pro French CDN - Retail - DVD 64-bit,https://pcpartpicker.com/product/C2VBD3/microsoft-windows-10-pro-french-cdn-retail-dvd-64-bit-fqc-08921,https://cdna.pcpartpicker.com/static/forever/images/product/eada175679f407c6c400d6206d19b9e4.256p.jpg,64-bit,2048 GB,
Microsoft Windows 10 Pro Retail - Download 32/64-bit,https://pcpartpicker.com/product/CYH48d/microsoft-windows-10-pro-retail-download-3264-bit-fqc-09131,https://cdna.pcpartpicker.com/static/forever/images/product/b3f9d836d33c6a83e4f4e89405eb8b12.256p.jpg,32/64-bit,2048 GB,
Microsoft Windows 10 Home Retail - USB 32/64-bit,https://pcpartpicker.com/product/G9GnTW/microsoft-windows-10-home-retail-usb-3264-bit-haj-00052,https://cdna.pcpartpicker.com/static/forever/images/product/d27dd8746891b293b60edde8f4316241.256p.jpg,32/64-bit,128 GB,
Microsoft Windows 8.1 32/64-bit,https://pcpartpicker.com/product/YWxfrH/microsoft-os-wn700578,/static/forever/img/no-image.png,32/64-bit,128 GB,
Microsoft Windows 10 Home OEM - DVD 64-bit,https://pcpartpicker.com/product/96RFf7/microsoft-windows-10-home-oem-dvd-64-bit-kw9-00139,https://cdna.pcpartpicker.com/static/forever/images/product/c9b365727400c92a7ffcb533826dd224.256p.jpg,64-bit,128 GB,
Microsoft Windows 10 Pro Retail - USB 32/64-bit,https://pcpartpicker.com/product/DWbkcf/microsoft-windows-10-pro-retail-usb-3264-bit-fqc-08788,https://cdna.pcpartpicker.com/static/forever/images/product/5fdc986e971c592186787b9acd06f380.256p.jpg,32/64-bit,2048 GB,
