Name,URL,Image,Type,Efficiency Rating,Wattage,Modular,Color,Price
MSI MAG A750GL PCIE5,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg,ATX,80+ Gold,750 W,Full,Black,95.99
MSI MAG A850GL PCIE5,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg,ATX,80+ Gold,850 W,Full,Black,113.99
MSI MAG A650BN,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,https://cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg,ATX,80+ Bronze,650 W,No,Black,59.00
Corsair SF1000 (2024),https://pcpartpicker.com/product/Y4zXsY/corsair-sf1000-2024-1000-w-80-platinum-certified-fully-modular-sfx-power-supply-cp-9020257,https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg,SFX,80+ Platinum,1000 W,Full,Black,239.99
Corsair RM850e (2025),https://pcpartpicker.com/product/zBbypg/corsair-rm850e-2025-850-w-fully-modular-atx-power-supply-cp-9020296-na,https://cdna.pcpartpicker.com/static/forever/images/product/3fa3c80c1defc487364f6bdaf2670b1e.256p.jpg,ATX,,850 W,Full,Black,124.98
Montech CENTURY II,https://pcpartpicker.com/product/sqbypg/montech-century-ii-850-w-80-gold-certified-fully-modular-atx-power-supply-century-ii-850w,https://m.media-amazon.com/images/I/41ehLaPDbXL.jpg,ATX,80+ Gold,850 W,Full,Black,82.90
Corsair RM1000x (2024),https://pcpartpicker.com/product/XZsV3C/corsair-rm1000x-2024-1000-w-fully-modular-atx-power-supply-cp-9020271-na,https://cdna.pcpartpicker.com/static/forever/images/product/8bc2cb01b2a5875aa983b4cc5be68221.256p.jpg,ATX,,1000 W,Full,Black,179.99
MSI MAG A550BN,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg,ATX,80+ Bronze,550 W,No,Black,52.67
Corsair CX750M (2021),https://pcpartpicker.com/product/JkKKHx/corsair-cx750m-2021-750-w-80-bronze-certified-semi-modular-atx-power-supply-cp-9020222-na,https://cdna.pcpartpicker.com/static/forever/images/product/e3f5e5e966e562c1ec685b17ed83bccb.256p.jpg,ATX,80+ Bronze,750 W,Semi,Black,79.98
Corsair RM750e (2025),https://pcpartpicker.com/product/jfHp99/corsair-rm750e-2025-750-w-fully-modular-atx-power-supply-cp-9020295-na,https://cdna.pcpartpicker.com/static/forever/images/product/8307e191cd38a81dc5dcf709432e21e0.256p.jpg,ATX,,750 W,Full,Black,89.99
