Name,URL,Image,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Price
Samsung 990 Pro,https://pcpartpicker.com/product/34ytt6/samsung-990-pro-2-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p2t0bw,https://cdna.pcpartpicker.com/static/forever/images/product/55fb148a837f9e33dfdb095188af8a74.256p.jpg,2 TB,$0.198,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,395.00
Kingston NV3,https://pcpartpicker.com/product/tmbRsY/kingston-nv3-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv3s1000g,https://cdna.pcpartpicker.com/static/forever/images/product/0a0b12a29d901a2fef4cd49748f3cc54.256p.jpg,1 TB,$0.165,SSD,,M.2-2280,M.2 PCIe 4.0 X4,164.99
Crucial P310,https://pcpartpicker.com/product/X46NnQ/crucial-p310-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct1000p310ssd8,https://cdna.pcpartpicker.com/static/forever/images/product/df4e2992d37f23922fb5d8d9ce743981.256p.jpg,1 TB,$0.150,SSD,,M.2-2280,M.2 PCIe 4.0 X4,149.99
Samsung 990 Pro,https://pcpartpicker.com/product/FsqPxr/samsung-990-pro-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p1t0bw,https://m.media-amazon.com/images/I/41IWzc1mUwL.jpg,1 TB,$0.200,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,199.99
Samsung 990 EVO Plus,https://pcpartpicker.com/product/hpqrxr/samsung-990-evo-plus-2-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s2t0bw,https://cdna.pcpartpicker.com/static/forever/images/product/e04f7c7b9bb44e66f4518b2d99d5798d.256p.jpg,2 TB,$0.165,SSD,,M.2-2280,M.2 PCIe 5.0 X2,329.99
Samsung 9100 PRO,https://pcpartpicker.com/product/J6DnTW/samsung-9100-pro-8-tb-m2-2280-pcie-50-x4-nvme-solid-state-drive-mz-vap8t0bam,https://cdna.pcpartpicker.com/static/forever/images/product/fc8889b70fba1d57031e100cf6562622.256p.jpg,8 TB,$0.200,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4,1598.96
Samsung 990 EVO Plus,https://pcpartpicker.com/product/XQFmP6/samsung-990-evo-plus-1-tb-m2-2280-pcie-50-x2-nvme-solid-state-drive-mz-v9s1t0bw,https://cdna.pcpartpicker.com/static/forever/images/product/2c091ea31f2b5c8f08dd51ef546046b0.256p.jpg,1 TB,$0.164,SSD,,M.2-2280,M.2 PCIe 5.0 X2,164.49
Seagate Barracuda Compute,https://pcpartpicker.com/product/mwrYcf/seagate-barracuda-computer-2-tb-35-7200rpm-internal-hard-drive-st2000dm008,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg,2 TB,$0.055,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,109.99
Silicon Power UD90,https://pcpartpicker.com/product/4kpzK8/silicon-power-ud90-1-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sp01kgbp44ud9005,https://cdna.pcpartpicker.com/static/forever/images/product/b897eb9b6b500cbebe80985cb7c8ba7e.256p.jpg,1 TB,$0.132,SSD,,M.2-2280,M.2 PCIe 4.0 X4,131.97
Samsung 990 Pro,https://pcpartpicker.com/product/RKYmP6/samsung-990-pro-4-tb-m2-2280-pcie-40-x4-nvme-solid-state-drive-mz-v9p4t0bw,https://cdna.pcpartpicker.com/static/forever/images/product/242cc7c9d1e07078de3b04029e20dd82.256p.jpg,4 TB,$0.175,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,699.99
