Name,URL,Image,Interface,Color,Price
StarTech ST10GPEXNDPI,https://pcpartpicker.com/product/tqJgXL/startech-st10gpexndpi-2-x-10-gbs-ethernet-pcie-x4-network-adapter-st10gpexndpi,https://cdna.pcpartpicker.com/static/forever/images/product/b4f19eef7fb7a2b7e10474d46f952cc5.256p.jpg,PCIe x4,Black / Silver,390.79
TP-Link TG-3468,https://pcpartpicker.com/product/dQmLrH/tp-link-wired-network-card-tg3468,https://cdna.pcpartpicker.com/static/forever/images/product/330081db022793485f64a34fc60dd6a7.256p.jpg,PCIe x1,,14.99
Asus XG-C100C,https://pcpartpicker.com/product/7z4NnQ/asus-xg-c100c-network-adapter-xg-c100c,https://cdna.pcpartpicker.com/static/forever/images/product/61855427052066ed173d5f7dcfa0dd8c.256p.jpg,PCIe x4,,99.99
Intel X540-T2,https://pcpartpicker.com/product/BRkwrH/intel-x540-t2-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x540t2,https://m.media-amazon.com/images/I/51DNyUOcckL.jpg,PCIe x8,,96.99
TP-Link TX201,https://pcpartpicker.com/product/y93gXL/tp-link-tx201-25-gbs-ethernet-pcie-x1-network-adapter-tx201,https://cdna.pcpartpicker.com/static/forever/images/product/5a179aa8a9e73be02fc1fb6200da0c28.256p.jpg,PCIe x1,Black / Gold,26.99
Intel X550-T2,https://pcpartpicker.com/product/cpndnQ/intel-x550-t2-network-adapter-x550-t2,https://cdna.pcpartpicker.com/static/forever/images/product/dffbd7ee141b241601d4e798fcf90ee8.256p.jpg,PCIe x4,,118.58
TP-Link TX401,https://pcpartpicker.com/product/wzmFf7/tp-link-tx401-10-gbs-ethernet-pcie-x4-network-adapter-tx401,https://cdna.pcpartpicker.com/static/forever/images/product/e0cd246e9392dfc4df3c23e27bb400e9.256p.jpg,PCIe x4,Red,69.98
Intel X710-T2L,https://pcpartpicker.com/product/FFH8TW/intel-x710-t2l-2-x-10-gbs-ethernet-pcie-x8-network-adapter-x710t2l,https://cdna.pcpartpicker.com/static/forever/images/product/910acc7d0c6d590129398aa69d80e057.256p.jpg,PCIe x8,Green / Black,251.99
TP-Link UE306,https://pcpartpicker.com/product/bGH7YJ/tp-link-ue306-gigabit-ethernet-usb-type-a-network-adapter-ue306,https://cdna.pcpartpicker.com/static/forever/images/product/e4d2ec5658c261b137e121959ec813c5.256p.jpg,USB Type-A 3.2 Gen 1,Black,9.96
Intel EXPI9301CTBLK,https://pcpartpicker.com/product/xsdqqs/intel-wired-network-card-expi9301ctblk,https://cdna.pcpartpicker.com/static/forever/images/product/33eaba5604cbc7eec9ee0e37fde23741.256p.jpg,PCIe x1,,56.04
Intel E1G44ET2,https://pcpartpicker.com/product/8r4gXL/intel-wired-network-card-e1g44et2,https://m.media-amazon.com/images/I/41FaNGaccqL.jpg,PCIe x4,,
StarTech ST10GSPEXNDP,https://pcpartpicker.com/product/9ttKHx/startech-st10gspexndp-2-x-10-gbs-ethernet-pcie-x8-network-adapter-st10gspexndp,https://m.media-amazon.com/images/I/21yIWYBR0pL.jpg,PCIe x8,Black / Silver,
Intel E1G44ET2BLK,https://pcpartpicker.com/product/VwLypg/intel-wired-network-card-e1g44et2blk,https://cdna.pcpartpicker.com/static/forever/images/product/faf33f31b49233a8a77a7cb481672f5f.256p.jpg,PCIe x4,,352.21
Gigabyte GC-AQC107,https://pcpartpicker.com/product/QHx2FT/gigabyte-gc-aqc107-network-adapter-gc-aqc107,https://m.media-amazon.com/images/I/41M+nrFkXiL.jpg,PCIe x4,Black / White,
TRENDnet TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,https://pcpartpicker.com/product/bBCD4D/trendnet-trendnet-teg-10gectx-10-gigabit-pcie-network-adapter-pcie-x4-10-gbits-network-adapter-teg-10gectx,https://cdna.pcpartpicker.com/static/forever/images/product/a28d0d58f3b5def7b5a3ff61c8797984.256p.jpg,PCIe x4,Green / Silver,81.37
Intel X540T1,https://pcpartpicker.com/product/Xy6BD3/intel-x540t1-10-gbs-ethernet-pcie-x8-network-adapter-x540t1,https://cdna.pcpartpicker.com/static/forever/images/product/acd586785100d39c2c602231fe3e06f6.256p.jpg,PCIe x8,Black / Green,129.00
Syba SD-PEX24066,https://pcpartpicker.com/product/ZYcG3C/syba-sd-pex24066-2-x-25-gbs-ethernet-pcie-x1-network-adapter-sd-pex24066,https://m.media-amazon.com/images/I/41PdZUOPleL.jpg,PCIe x1,Green / Black,28.00
StarTech ST10GSPEXNB2,https://pcpartpicker.com/product/PtcG3C/startech-st10gspexnb2-10-gbs-ethernet-pcie-x2-network-adapter-st10gspexnb2,https://m.media-amazon.com/images/I/51I6eESqn5L.jpg,PCIe x2,Silver / Black,169.99
