Name,URL,Image,Type,Frequency Response,Microphone,Wireless,Enclosure Type,Color,Price
Final D8000,https://pcpartpicker.com/product/hjkgXL/final-audio-design-d8000-headphones-fi-d8pal,https://m.media-amazon.com/images/I/41oK95KoUwL.jpg,Circumaural,,No,No,Closed,Black / Silver,6217.61
HP HyperX Cloud II,https://pcpartpicker.com/product/tZL7YJ/hp-hyperx-cloud-ii-71-channel-headset-khx-hscp-rd,https://cdna.pcpartpicker.com/static/forever/images/product/72a586f112591cd7b43f4b0dc244ba29.256p.jpg,Circumaural,15 Hz - 25 kHz,Yes,No,Closed,Black / Red,49.99
Razer BlackShark V2 X,https://pcpartpicker.com/product/BbgQzy/razer-blackshark-v2-x-71-channel-headset-rz04-03240100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/6bfd83b70242125dd19a098b04deb9e1.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,No,Closed,Black / Green,39.97
"SteelSeries Arctis Nova Pro Wireless for PC, PS5, and PS4",https://pcpartpicker.com/product/wTcG3C/steelseries-arctis-nova-pro-wireless-for-pc-ps5-and-ps4-headset-61520,https://cdna.pcpartpicker.com/static/forever/images/product/58e020a3f5cb57cf060804a8a9d1fd2f.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,343.48
Logitech G435,https://pcpartpicker.com/product/CGD7YJ/logitech-981-001049-headset-981-001049,https://cdna.pcpartpicker.com/static/forever/images/product/a0f67686009b268eb9b537dfbbc3a4e0.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black / Yellow,49.99
Logitech PRO X 2 LIGHTSPEED,https://pcpartpicker.com/product/6wyH99/logitech-pro-x-2-lightspeed-headset-981-001262,https://cdna.pcpartpicker.com/static/forever/images/product/0654c2062080ded169e6bdc820f168eb.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,229.99
Logitech PRO X 2 LIGHTSPEED,https://pcpartpicker.com/product/jzhv6h/logitech-pro-x-2-lightspeed-headset-981-001268,https://cdna.pcpartpicker.com/static/forever/images/product/b95b61acc3de748aacfe4fee474f5216.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,White,228.00
Logitech ASTRO A50 X,https://pcpartpicker.com/product/mxdG3C/logitech-astro-a50-x-headset-939-002126,https://m.media-amazon.com/images/I/31S7rZQLB2L.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,349.99
SteelSeries Arctis Nova 1,https://pcpartpicker.com/product/ZnNYcf/steelseries-arctis-nova-1-headset-61606,https://cdna.pcpartpicker.com/static/forever/images/product/fcdc7e701e4a83bfa2e0a2c208fcc4fa.256p.jpg,Circumaural,20 Hz - 22 kHz,Yes,No,Closed,Black,36.49
Razer BlackShark V2 Pro (2023),https://pcpartpicker.com/product/3qmNnQ/razer-blackshark-v2-pro-2023-headset-rz04-04530100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/618882d7efe9284c652d8009ef9ae80c.256p.jpg,Circumaural,12 Hz - 28 kHz,Yes,Yes,Closed,Black,104.97
Genius HS-02B,https://pcpartpicker.com/product/4GrG3C/genius-headphones-31710037100,https://cdna.pcpartpicker.com/static/forever/images/product/25c754ca083c8fe55ac0e573496edf41.256p.jpg,Supra-aural,20 Hz - 20 kHz,Yes,No,Closed,Black / Silver,5.51
Corsair VOID WIRELESS v2,https://pcpartpicker.com/product/bWrp99/corsair-void-wireless-v2-headset-ca-9011379-ww,https://cdna.pcpartpicker.com/static/forever/images/product/8ab652b2c883c6c10c203145a938372c.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,Yes,Closed,Black,113.54
Beyerdynamic DT 770 PRO,https://pcpartpicker.com/product/zy4BD3/beyerdynamic-dt-770-pro-headphones-dt-770-pro,https://cdna.pcpartpicker.com/static/forever/images/product/5c8923ca7708bee1844feee595dfa13e.256p.jpg,Circumaural,5 Hz - 35 kHz,No,No,Closed,Gray,199.99
HiFiMAN Susvara,https://pcpartpicker.com/product/fmkWGX/hifiman-susvara-headphones-susvara,https://cdna.pcpartpicker.com/static/forever/images/product/54fe0ca737c04afc856fa32912993f25.256p.jpg,Circumaural,6 Hz - 75 kHz,No,No,Open,Silver / Brown,
SteelSeries Arctis Nova Elite,https://pcpartpicker.com/product/kGzp99/steelseries-arctis-nova-elite-headset-61661,https://cdna.pcpartpicker.com/static/forever/images/product/bb368c788e16ad879d59b7e89a42d30c.256p.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Black,599.99
Logitech Pro X,https://pcpartpicker.com/product/ZdXYcf/logitech-pro-x-71-channel-headset-981-000817,https://cdna.pcpartpicker.com/static/forever/images/product/c4927b86acf31ab403449e81673d56f7.256p.jpg,Circumaural,20 Hz - 20 kHz,Yes,No,Closed,Black,119.54
Bang &amp; Olufsen Beoplay H100,https://pcpartpicker.com/product/bGbypg/bang-olufsen-beoplay-h100-headset-1224403,https://m.media-amazon.com/images/I/3152Py9FvtL.jpg,Circumaural,10 Hz - 40 kHz,Yes,Yes,Closed,Beige / Gold,2200.00
