Name,URL,Image,Style,Switch Type,Backlit,Tenkeyless,Connection Type,Color,Price
Logitech K120,https://pcpartpicker.com/product/MwsKHx/logitech-keyboard-920002478,https://cdna.pcpartpicker.com/static/forever/images/product/acaf1664d5bee7d6eaca0eeab94a3aff.256p.jpg,Standard,,None,No,Wired,Black,9.74
Logitech G19,https://pcpartpicker.com/product/hmsKHx/logitech-g19-wired-standard-keyboard-920-000969,https://m.media-amazon.com/images/I/411-8f8A-tL.jpg,Standard,,Multicolor,No,Wired,Black,799.99
HP HyperX Alloy Core,https://pcpartpicker.com/product/BvL48d/hp-hyperx-alloy-core-rgb-wired-gaming-keyboard-hx-kb5me2-us,https://cdna.pcpartpicker.com/static/forever/images/product/bf808ec87400505de7245845b3131047.256p.jpg,Gaming,,RGB,No,Wired,Black,36.99
RK Royal Kludge RK61,https://pcpartpicker.com/product/6yQKHx/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-093348322,https://m.media-amazon.com/images/I/31ZDUwbWasL.jpg,Mini,RK Red,White,Yes,"Wired, Wireless, Bluetooth Wireless",White,39.97
Redragon K552,https://pcpartpicker.com/product/VhkwrH/redragon-keyboard-k552,https://m.media-amazon.com/images/I/41LSGymHc7L.jpg,Gaming,Outemu Blue,Red,Yes,Wired,Black,36.99
Razer Huntsman Mini,https://pcpartpicker.com/product/vGgQzy/razer-huntsman-mini-rgb-wired-mini-keyboard-rz03-03390300-r3m1,https://cdna.pcpartpicker.com/static/forever/images/product/1411d2ffe69ca84f0c740ee5d0df4a0e.256p.jpg,Mini,Razer Purple Optical Clicky,RGB,Yes,Wired,White,69.97
SteelSeries Apex 3 TKL RGB,https://pcpartpicker.com/product/zZ3gXL/steelseries-apex-3-tkl-rgb-wired-gaming-keyboard-12167,https://m.media-amazon.com/images/I/41tJtjMmKCL.jpg,Gaming,,RGB,Yes,Wired,Black,31.99
Asus ROG Azoth Extreme,https://pcpartpicker.com/product/bkCZxr/asus-rog-azoth-extreme-rgb-bluetoothwirelesswired-gaming-keyboard-m702-azoth-extremenxsw,https://m.media-amazon.com/images/I/41j2mMxaICL.jpg,Gaming,ROG NX Snow,RGB,Yes,"Wired, Wireless, Bluetooth Wireless",Black,399.99
Razer Huntsman V3 Pro,https://pcpartpicker.com/product/WDTZxr/razer-huntsman-v3-pro-rgb-wired-gaming-keyboard-rz03-04980200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/cd5579d337b2519193ac2930a6641c32.256p.jpg,Gaming,Razer Analog Optical Switch Gen-2,RGB,Yes,Wired,Black,139.94
RK Royal Kludge RK61,https://pcpartpicker.com/product/khNYcf/rk-royal-kludge-rk61-bluetoothwirelesswired-mini-keyboard-338395023,https://m.media-amazon.com/images/I/41lgkMJ5btL.jpg,Mini,RK Red,White,Yes,"Wired, Wireless, Bluetooth Wireless",Black,39.99
