Name,URL,Image,Tracking Method,Connection Type,Maximum DPI,Hand Orientation,Color,Price
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/Yrw7YJ/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005280,https://cdna.pcpartpicker.com/static/forever/images/product/0041ec7f09c5b96850347e2254991f73.256p.jpg,Optical,"Wired, Wireless",12000,Right,Black,26.99
Logitech G502 Hero,https://pcpartpicker.com/product/7RbwrH/logitech-g502-hero-wired-optical-mouse-910-005469,https://cdna.pcpartpicker.com/static/forever/images/product/125c1da538a8704be799ef12a506e177.256p.jpg,Optical,Wired,25600,Right,Black,35.99
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/QzHqqs/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006628,https://cdna.pcpartpicker.com/static/forever/images/product/8bd4ec52b9e7e8664ea7573dccccc0c4.256p.jpg,Optical,"Wired, Wireless",32000,Right,Black,129.99
Razer Basilisk V3,https://pcpartpicker.com/product/NQBG3C/razer-basilisk-v3-wired-optical-mouse-rz01-04000100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/d662cc7b90e3fd45502f7c77d9b54269.256p.jpg,Optical,Wired,26000,Right,Black,36.95
Logitech G305 LIGHTSPEED,https://pcpartpicker.com/product/4CMwrH/logitech-g305-lightspeed-wirelesswired-optical-mouse-910-005289,https://cdna.pcpartpicker.com/static/forever/images/product/e5ae54669b6dc857c4d03a26e70ed9d5.256p.jpg,Optical,"Wired, Wireless",12000,Right,White,29.99
Logitech PRO X2 SUPERSTRIKE,https://pcpartpicker.com/product/tYZWGX/logitech-pro-x2-superstrike-wirelesswired-optical-mouse-910-007700,https://cdna.pcpartpicker.com/static/forever/images/product/eeb57a9b46ded9924512a55a6c76c27b.256p.jpg,Optical,"Wired, Wireless",44000,Right,White / Black,
Logitech TrackMan,https://pcpartpicker.com/product/KGCwrH/logitech-mouse-9043690403,https://m.media-amazon.com/images/I/417jvRpyYJL.jpg,Trackball,Wireless,,Right,Black / Silver,349.45
Razer Viper V3 Pro,https://pcpartpicker.com/product/sDgrxr/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/25eb6d79d56298ee00645faac8d6aff1.256p.jpg,Optical,"Wired, Wireless",35000,Right,Black,119.99
Logitech G Pro X Superlight,https://pcpartpicker.com/product/yY4BD3/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005878,https://cdna.pcpartpicker.com/static/forever/images/product/575c76df1ce4d5588c5749e289515e4c.256p.jpg,Optical,Wireless,25400,Right,Black,102.98
Lenovo GX30M39704 300,https://pcpartpicker.com/product/ZPm323/lenovo-gx30m39704-300-wired-laser-mouse-gx30m39704,https://cdna.pcpartpicker.com/static/forever/images/product/9f6b69ae376d3d89ec24b134f9a08a9b.256p.jpg,Laser,Wired,,Both,Black / Orange,6.49
Logitech PRO X Superlight 2,https://pcpartpicker.com/product/FTjRsY/logitech-pro-x-superlight-2-wirelesswired-optical-mouse-910-006636,https://cdna.pcpartpicker.com/static/forever/images/product/933d216894f55f4ed992d28e54829810.256p.jpg,Optical,"Wired, Wireless",32000,Right,White,129.99
Logitech G502 LIGHTSPEED,https://pcpartpicker.com/product/t9x2FT/logitech-g502-lightspeed-wireless-optical-mouse-910-005565,https://cdna.pcpartpicker.com/static/forever/images/product/688ab5cb5e71622cfe889c082d784cdb.256p.jpg,Optical,Wireless,25600,Right,Black,89.99
Asus ROG Harpe Ace Extreme,https://pcpartpicker.com/product/qtV2FT/asus-rog-harpe-ace-extreme-wiredbluetoothwireless-optical-mouse-rog-harpe-ace-extreme,https://cdna.pcpartpicker.com/static/forever/images/product/e97b771577f100e48dec340162528ae3.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",42000,Right,Black,261.45
Logitech G502 X Plus,https://pcpartpicker.com/product/J86p99/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006160,https://cdna.pcpartpicker.com/static/forever/images/product/9cfeaf467cdc4fb77c735a6f491aba6b.256p.jpg,Optical,"Wired, Wireless",25600,Right,Black,145.99
Logitech B100,https://pcpartpicker.com/product/JGCwrH/logitech-mouse-910001439,https://m.media-amazon.com/images/I/31iFF1KbkpL.jpg,Optical,Wired,800,,Black,7.99
Razer DeathAdder Essential,https://pcpartpicker.com/product/RBKKHx/razer-deathadder-essential-wired-optical-mouse-rz01-03850100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/d6fd43322f07dedde7c5c3d9e53706d1.256p.jpg,Optical,Wired,6400,Right,Black / Green,20.96
Logitech G502 X Plus,https://pcpartpicker.com/product/FRZ9TW/logitech-g502-x-plus-wirelesswired-optical-mouse-910-006169,https://cdna.pcpartpicker.com/static/forever/images/product/a15cd9289e318eba9b6dae3658c4c1b6.256p.jpg,Optical,"Wired, Wireless",25600,Right,White,159.99
Razer Basilisk V3 Pro,https://pcpartpicker.com/product/HyJgXL/razer-basilisk-v3-pro-wiredbluetoothwireless-optical-mouse-rz01-04620100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/b5ae883a17a1d332780a63f64f8df4b0.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,89.00
Razer DeathAdder V4 Pro,https://pcpartpicker.com/product/CpnXsY/razer-deathadder-v4-pro-wirelesswired-optical-mouse-rz01-05330100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/88e9e7d1c7dd5c517fd31999b5abc5f2.256p.jpg,Optical,"Wired, Wireless",45000,Right,Black,169.99
Logitech G700s,https://pcpartpicker.com/product/29V48d/logitech-mouse-910003584,https://m.media-amazon.com/images/I/41-wVvikRuL.jpg,Laser,Wireless,8200,Right,Black,499.99
Logitech G Pro,https://pcpartpicker.com/product/vJ448d/logitech-g-pro-wirelesswired-optical-mouse-910-005270,https://cdna.pcpartpicker.com/static/forever/images/product/800bb5629053de7c02501a11b4e0f87d.256p.jpg,Optical,"Wired, Wireless",25600,Both,Black,89.97
Razer Viper V3 Pro,https://pcpartpicker.com/product/yYFmP6/razer-viper-v3-pro-wirelesswired-optical-mouse-rz01-05120200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/95beff2e5567815a69d76d72cb4e956e.256p.jpg,Optical,"Wired, Wireless",35000,Right,White,119.99
Logitech G303 Daedalus Apex,https://pcpartpicker.com/product/wwPzK8/logitech-mouse-910004380,https://m.media-amazon.com/images/I/41EaCtcC7oL.jpg,Optical,Wired,12000,Right,Black / Orange,375.00
Logitech G203 Lightsync,https://pcpartpicker.com/product/TzQfrH/logitech-g203-lightsync-wired-optical-mouse-910-005790,https://cdna.pcpartpicker.com/static/forever/images/product/b8e80e45051e0b167cbda318107448f9.256p.jpg,Optical,Wired,8000,Right,Black,23.99
Razer Viper V3 HyperSpeed,https://pcpartpicker.com/product/NDXV3C/razer-viper-v3-hyperspeed-wireless-optical-mouse-rz01-04910100-r3u1,https://m.media-amazon.com/images/I/31nB-uULOLL.jpg,Optical,Wireless,30000,Right,Black,49.99
Redragon COBRA M711,https://pcpartpicker.com/product/dZQG3C/redragon-cobra-m711-wired-optical-mouse-cobra-m711,https://cdna.pcpartpicker.com/static/forever/images/product/ed20fdc4053c1979e2f89767aafda5d1.256p.jpg,Optical,Wired,10000,Right,Black / Multicolor,16.98
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/yw9wrH/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007328,https://cdna.pcpartpicker.com/static/forever/images/product/ef157c63ae31a89ae83c743c4bc77394.256p.jpg,Optical,"Wired, Wireless",44000,Right,Black,129.99
Razer DeathAdder Essential,https://pcpartpicker.com/product/pFcG3C/razer-deathadder-essential-wired-optical-mouse-rz01-03850200-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/1435c1dd5733f7443c14b484e733224e.256p.jpg,Optical,Wired,6400,Right,White,23.48
Razer Basilisk V3 Pro 35K,https://pcpartpicker.com/product/nP26Mp/razer-basilisk-v3-pro-35k-bluetoothwirelesswired-optical-mouse-rz01-05240100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/97ae96e9c6c3ce726b4f25482b0c8afe.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",35000,Right,Black,159.00
Logitech G Pro X Superlight,https://pcpartpicker.com/product/dZsnTW/logitech-g-pro-x-superlight-wireless-optical-mouse-910-005940,https://m.media-amazon.com/images/I/31Hn3R2Vv5L.jpg,Optical,Wireless,25400,Right,White,123.00
Lenovo K5923,https://pcpartpicker.com/product/d4rG3C/lenovo-mouse-0c51641,https://images-na.ssl-images-amazon.com/images/I/31iHu-PO8JL.jpg,Touchpad,Wireless,,Both,Black,
Corsair SCIMITAR RGB ELITE,https://pcpartpicker.com/product/X8848d/corsair-scimitar-rgb-elite-wired-optical-mouse-ch-9304211-na,https://cdna.pcpartpicker.com/static/forever/images/product/dfb52b07215736a9d55388366a53d86a.256p.jpg,Optical,Wired,18000,Right,Black,59.99
Asus TUF GAMING Mini Hatsune Miku Edition,https://pcpartpicker.com/product/nzsMnQ/asus-tuf-gaming-mini-hatsune-miku-edition-bluetoothwirelesswired-optical-mouse-90mp0420-bmua00,https://cdna.pcpartpicker.com/static/forever/images/product/24d70727a40a355c59ab65f63aa31d61.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",12000,Both,White / Teal,109.99
Corsair DARK CORE RGB PRO SE,https://pcpartpicker.com/product/LwpmP6/corsair-dark-core-rgb-pro-se-wireless-optical-mouse-ch-9315511-na,https://cdna.pcpartpicker.com/static/forever/images/product/fbeb5a62840993fa50c1836186087dfc.256p.jpg,Optical,Wireless,18000,Right,Black,49.99
Razer DeathAdder V4 Pro,https://pcpartpicker.com/product/c6VfrH/razer-deathadder-v4-pro-wirelesswired-optical-mouse-rz01-05330200-r3u1,https://m.media-amazon.com/images/I/316m-1XJULL.jpg,Optical,"Wired, Wireless",45000,Right,White,139.99
Logitech G502 X,https://pcpartpicker.com/product/6VjBD3/logitech-g502-x-wirelesswired-optical-mouse-910-006178,https://cdna.pcpartpicker.com/static/forever/images/product/99a256af2fe5bb228f2fcd17e2d6b544.256p.jpg,Optical,"Wired, Wireless",25600,Right,Black,109.99
Glorious Model I 2,https://pcpartpicker.com/product/6wjRsY/glorious-model-i-2-wirelessbluetoothwired-optical-mouse-glo-ms-iwv2-mw,https://cdna.pcpartpicker.com/static/forever/images/product/6502f3433ea325a35eef3486515a4a89.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White,99.99
Logitech MX MASTER 3S,https://pcpartpicker.com/product/Bs4Ycf/logitech-mx-master-3s-wireless-optical-mouse-910-006557,https://cdna.pcpartpicker.com/static/forever/images/product/80f5ae114fd88013fa45e170e1098214.256p.jpg,Optical,Wireless,8000,Right,Gray,109.99
Razer Naga V2 Pro,https://pcpartpicker.com/product/fd6NnQ/razer-naga-v2-pro-bluetoothwirelesswired-optical-mouse-rz01-04400100-r3u1,https://m.media-amazon.com/images/I/41Ys1r4Uq0L.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black,171.99
Asus ROG HARPE ACE AIM LAB EDITION,https://pcpartpicker.com/product/JqsV3C/asus-rog-harpe-ace-aim-lab-edition-wirelesswired-optical-mouse-p713-rog-harpe-ace-aim-lab-editionblk,https://cdna.pcpartpicker.com/static/forever/images/product/39f5483248fb55771d174204732924e7.256p.jpg,Optical,"Wired, Wireless",36000,Right,Black,79.98
Razer Basilisk V3 X Hyperspeed,https://pcpartpicker.com/product/K3yH99/razer-basilisk-v3-x-hyperspeed-bluetoothwirelesswired-optical-mouse-rz01-04870100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/1bb09ad5b3b239b0aeebb8aa47a91339.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black,48.99
Redragon M602,https://pcpartpicker.com/product/X9w7YJ/redragon-m602-wired-optical-mouse-m602,https://m.media-amazon.com/images/I/4189L2UBl9L.jpg,Optical,Wired,7200,Right,Black,19.98
Razer DeathAdder V3,https://pcpartpicker.com/product/pf88TW/razer-deathadder-v3-wired-optical-mouse-rz01-04640100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/527a2ec03a543912ea15c59764aeb279.256p.jpg,Optical,Wired,30000,Right,Black,43.99
Verbatim Bravo,https://pcpartpicker.com/product/Hr9KHx/verbatim-mouse-98106,https://cdna.pcpartpicker.com/static/forever/images/product/5c388ef9bdfd2933f0cef41aa21ad5a1.256p.jpg,Optical,Wired,,Both,Black,8.80
Logitech PRO X SUPERLIGHT 2 DEX,https://pcpartpicker.com/product/d3qrxr/logitech-pro-x-superlight-2-dex-wiredwireless-optical-mouse-910-007363,https://cdna.pcpartpicker.com/static/forever/images/product/7ebd73d009de6f7ed5f7adb959c12a99.256p.jpg,Optical,"Wired, Wireless",44000,Right,White,149.99
SteelSeries Aerox 5,https://pcpartpicker.com/product/7MNxFT/steelseries-aerox-5-bluetoothwirelesswired-optical-mouse-62406,https://cdna.pcpartpicker.com/static/forever/images/product/1854a0026f919a1085b9b9f3ee6d1f2d.256p.jpg,Optical,"Wired, Wireless, Bluetooth Wireless",18000,Right,Black,109.99
