Name,URL,Image,Configuration,Total Wattage,Frequency Response,Color,Price
Kanto TUK,https://pcpartpicker.com/product/PyC48d/kanto-tuk-260-w-20-channel-speakers-ca-tukmb,https://m.media-amazon.com/images/I/316eV2+AW3L.jpg,2.0,260 W,50 Hz - 20 kHz,Black,899.99
Creative Labs Pebble 2.0,https://pcpartpicker.com/product/cwjJ7P/creative-labs-pebble-20-44w-2ch-speakers-51mf1680aa000,https://cdna.pcpartpicker.com/static/forever/images/product/53654596dd1e528db8fb38931ab8a5bc.256p.jpg,2.0,4.4 W,100 Hz - 17 kHz,Black,23.74
Kanto TUK,https://pcpartpicker.com/product/JCYmP6/kanto-tuk-260-w-20-channel-speakers-ca-tukmw,https://m.media-amazon.com/images/I/31YHerBkZkL.jpg,2.0,260 W,50 Hz - 20 kHz,White / Black,899.99
Logitech Z207 (Black),https://pcpartpicker.com/product/gvDJ7P/logitech-z207-black-001w-2ch-speakers-980-001294,https://cdna.pcpartpicker.com/static/forever/images/product/ec84c190e5f11ca8e9b78bd6dfb781fd.256p.jpg,2.0,0.01 W,,Black,59.56
Logitech Z906,https://pcpartpicker.com/product/3DPfrH/logitech-speakers-980000467,https://m.media-amazon.com/images/I/41tnErFDq3L.jpg,5.1,500 W,35 Hz - 20 kHz,,369.99
Creative Labs Pebble 2.0,https://pcpartpicker.com/product/fwjJ7P/creative-labs-pebble-20-44w-2ch-speakers-51mf1680aa001,https://cdna.pcpartpicker.com/static/forever/images/product/a02af64b3b2cf5af614179a132aa367c.256p.jpg,2.0,4.4 W,100 Hz - 17 kHz,White,23.74
Razer Leviathan V2 X,https://pcpartpicker.com/product/qjfnTW/razer-leviathan-v2-x-65-w-20-channel-speakers-rz05-04280100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/340d4285b47c9ae44dce4a90a9f079d7.256p.jpg,2.0,65 W,85 Hz - 20 kHz,Black,84.99
Logitech S150,https://pcpartpicker.com/product/bY3gXL/logitech-s150-24-w-speakers-980-001004,https://cdna.pcpartpicker.com/static/forever/images/product/cc13de09d072bed3efcf450a1d98e046.256p.jpg,2.0,2.4 W,90 Hz - 20 kHz,Black,15.99
Edifier MR4,https://pcpartpicker.com/product/7Tn9TW/edifier-mr4-42-w-speakers-mr4-black,https://m.media-amazon.com/images/I/31kqFcLhJTL.jpg,2.0,42 W,60 Hz - 20 kHz,Black,129.99
Edifier MR4,https://pcpartpicker.com/product/V788TW/edifier-mr4-42-w-speakers-mr4-white,https://cdna.pcpartpicker.com/static/forever/images/product/ea21a9b6cd58a889002797910fc2441e.256p.jpg,2.0,42 W,60 Hz - 20 kHz,White,129.97
SteelSeries Arena 9 EU,https://pcpartpicker.com/product/VDkH99/steelseries-arena-9-eu-51-channel-speakers-61549,https://cdna.pcpartpicker.com/static/forever/images/product/cd9f29efeb8f9009391feee45e5bc9a2.256p.jpg,5.1,,35 Hz - 20 kHz,Black,857.60
Kanto REN,https://pcpartpicker.com/product/shdMnQ/kanto-ren-200-w-speakers-renmw,https://m.media-amazon.com/images/I/21DDOMajxvL.jpg,2.0,200 W,50 Hz - 22 kHz,White,699.99
Logitech Z623,https://pcpartpicker.com/product/svBv6h/logitech-speakers-980000402,https://cdna.pcpartpicker.com/static/forever/images/product/1a81d1d8e7b218880798be08c84c5a3e.256p.jpg,2.1,200 W,35 Hz - 20 kHz,,170.99
Creative Labs Pebble Plus,https://pcpartpicker.com/product/bpNYcf/creative-labs-pebble-plus-8-w-21-channel-speakers-mf0480,https://m.media-amazon.com/images/I/31Y+ekfVByL.jpg,2.1,8 W,50 Hz - 20 kHz,Black,52.24
Lenovo M0520,https://pcpartpicker.com/product/B7tCmG/lenovo-speakers-57y6360,https://m.media-amazon.com/images/I/51-M1YfyXOL.jpg,2.0,2 W,90 Hz - 20 kHz,,15.61
Logitech G560,https://pcpartpicker.com/product/7yqhP6/logitech-g560-0w-21ch-speakers-980-001300,https://cdna.pcpartpicker.com/static/forever/images/product/ad2ea31f9621f1aa5f4693fa012bc4de.256p.jpg,2.1,120 W,40 Hz - 18 kHz,Black,249.99
Sony HT-S100F Soundbar,https://pcpartpicker.com/product/NYKscf/sony-ht-s100f-soundbar-44-w-speakers-ht-s100f,https://cdna.pcpartpicker.com/static/forever/images/product/5ef14aaf9a260dcbf607eb5e0fb5b9e2.256p.jpg,2.0,44 W,20 Hz - 20 kHz,Black,118.00
AmazonBasics U213,https://pcpartpicker.com/product/q6848d/amazonbasics-u213-22-w-20-channel-speakers-u213,https://images-fe.ssl-images-amazon.com/images/I/41I1TETMiIL.jpg,2.0,2.2 W,103 Hz - 20 kHz,Black,18.98
SteelSeries Arena 9 US,https://pcpartpicker.com/product/7vqrxr/steelseries-arena-9-us-51-channel-speakers-61547,https://cdna.pcpartpicker.com/static/forever/images/product/f623ec1b82ade437b39d86ba82dd7e8d.256p.jpg,5.1,,35 Hz - 20 kHz,Black,543.99
Klipsch R-51PM,https://pcpartpicker.com/product/sf3H99/klipsch-r-51pm-120-w-20-channel-speakers-r-51pm,https://m.media-amazon.com/images/I/41lJ6byTccL.jpg,2.0,120 W,68 Hz - 21 kHz,Black,499.99
Creative Labs Pebble Pro,https://pcpartpicker.com/product/Ps88TW/creative-labs-pebble-pro-30-w-speakers-51mf1710aa001,https://m.media-amazon.com/images/I/316mEuQR-IL.jpg,2.0,30 W,80 Hz - 20 kHz,Black / Copper,74.99
Razer Leviathan V2,https://pcpartpicker.com/product/gG7G3C/razer-leviathan-v2-65-w-21-channel-speakers-rz05-03920100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/a404c6eeceb711738df49595a0ac7d4c.256p.jpg,2.1,65 W,45 Hz - 20 kHz,Black,249.99
Logitech Z313,https://pcpartpicker.com/product/PzJwrH/logitech-speakers-980000382,https://cdna.pcpartpicker.com/static/forever/images/product/17b4ef2d9b7828e91782fcf93bdc7cce.256p.jpg,2.1,25 W,48 Hz - 20 kHz,,66.49
ELAC DCB61,https://pcpartpicker.com/product/LYKnTW/elac-dcb61-320-w-speaker-dcb61-bk,https://m.media-amazon.com/images/I/413qa97ve-L.jpg,1.0,320 W,48 Hz - 22 kHz,Black,899.00
Klipsch ProMedia 2.1,https://pcpartpicker.com/product/y2vRsY/klipsch-speakers-promedia21,https://m.media-amazon.com/images/I/31Z6ZgChfGL.jpg,2.1,120 W,31 Hz - 20 kHz,,159.99
Creative Labs Pebble V2,https://pcpartpicker.com/product/XGzFf7/creative-labs-pebble-v2-8-w-speakers-51mf1695aa000,https://cdna.pcpartpicker.com/static/forever/images/product/35b161e009a58f1b9b4c4a50ab9dcda0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,32.99
Logitech Z407,https://pcpartpicker.com/product/yp8bt6/logitech-z407-40-w-21-channel-speakers-980-001347,https://cdna.pcpartpicker.com/static/forever/images/product/bdcf15f115b1f3e12e896a3efcb143f3.256p.jpg,2.1,40 W,40 Hz - 20 kHz,Black,109.99
Trust GXT 606 JAVV,https://pcpartpicker.com/product/3RtLrH/trust-gxt-606-javv-6-w-speakers-25108,https://cdna.pcpartpicker.com/static/forever/images/product/8dff6e7a89953fd9854d99ab273780a0.256p.jpg,2.0,6 W,160 Hz - 20 kHz,Black,90.71
Redragon GS814,https://pcpartpicker.com/product/mZHp99/redragon-gs814-20-w-speakers-gs814,https://cdna.pcpartpicker.com/static/forever/images/product/5a462a44c1ef7f5f9383588d8c293293.256p.jpg,2.0,20 W,20 Hz - 20 kHz,Black,31.33
Creative Labs Pebble V3,https://pcpartpicker.com/product/Fhnypg/creative-labs-pebble-v3-8-w-20-channel-speakers-51mf1700aa001,https://cdna.pcpartpicker.com/static/forever/images/product/2632f14a05f4fc771452849333b86af0.256p.jpg,2.0,8 W,100 Hz - 17 kHz,Black / Copper,39.99
Edifier G2000,https://pcpartpicker.com/product/j7gZxr/edifier-g2000-32-w-speakers-g2000-white,https://cdna.pcpartpicker.com/static/forever/images/product/8aa356c3f9738056c20cc84f3b32f7c6.256p.jpg,2.0,32 W,98 Hz - 20 kHz,White,99.99
Logitech Z150,https://pcpartpicker.com/product/Byp323/logitech-speakers-980000802,https://cdna.pcpartpicker.com/static/forever/images/product/df3930d28f5352d74bf85844dd6bcfe9.256p.jpg,2.0,,,,29.99
Logitech Z625,https://pcpartpicker.com/product/TjkwrH/logitech-z625-200w-21ch-speakers-980-001258,https://cdna.pcpartpicker.com/static/forever/images/product/3d4cf341a5a85ea3c5f3367eb79f7d47.256p.jpg,2.1,200 W,,,209.88
Razer Nommo V2 Pro,https://pcpartpicker.com/product/ymFmP6/razer-nommo-v2-pro-21-channel-speakers-rz05-04740100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/c0035e093e4e3c4bf3c41dc2c308ff1c.256p.jpg,2.1,,40 Hz - 20 kHz,Black,449.99
Razer Leviathan V2 Pro,https://pcpartpicker.com/product/XFJgXL/razer-leviathan-v2-pro-0-nw-51-channel-speakers-rz05-04160100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/6262bc1dd543981e5cf9a470e374209b.256p.jpg,5.1,,40 Hz - 20 kHz,Black,
Logitech Z323,https://pcpartpicker.com/product/yx8Zxr/logitech-speakers-980000354,https://cdna.pcpartpicker.com/static/forever/images/product/9e63aa7d5a08f1144a161dbda92482dd.256p.jpg,2.1,30 W,55 Hz - 20 kHz,,69.98
Creative Labs Stage Air V2,https://pcpartpicker.com/product/gwP8TW/creative-labs-stage-air-v2-10-w-speakers-51mf8395aa000,https://cdna.pcpartpicker.com/static/forever/images/product/7501b0c11b3286207e79e6bbdd22cc56.256p.jpg,2.0,10 W,80 Hz - 20 kHz,Black,59.99
Cyber Acoustics CA-2014rb,https://pcpartpicker.com/product/mKzv6h/cyber-acoustics-speakers-ca2014rb,https://cdna.pcpartpicker.com/static/forever/images/product/7419f0c9e66eeb4a00d915f52f65663f.256p.jpg,2.0,4 W,85 Hz - 18 kHz,,17.99
Razer NOMMO CHROMA,https://pcpartpicker.com/product/FLprxr/razer-nommo-0w-2ch-speakers-rz05-02460100-r3u1,https://m.media-amazon.com/images/I/41B4OATKG+L.jpg,2.0,,20 Hz - 20 kHz,Black,114.99
Audioengine A5+ Black,https://pcpartpicker.com/product/CqGkcf/audioengine-a5-black-150-w-speakers-a5plus-black,https://m.media-amazon.com/images/I/41aSVItoxLL.jpg,2.0,150 W,50 Hz - 22 kHz,Black,399.00
