Name,URL,Image,Resolution,Connection,Focus Type,Operating System,FOV Angle,Price
OBSBOT Tiny 2,https://pcpartpicker.com/product/XVCZxr/obsbot-tiny-2-webcam-owb-2204-ce,https://cdna.pcpartpicker.com/static/forever/images/product/4d3cc6020ee43a53aaacdefd372595a1.256p.jpg,"4k, 2k, 1080p, 720p, 480p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X",85.5°,299.00
Logitech BRIO Ultra HD Pro,https://pcpartpicker.com/product/zxqBD3/logitech-brio-ultra-hd-pro-webcam-960-001105,https://cdna.pcpartpicker.com/static/forever/images/product/6c931846f8b1f5346a3700526272ea24.256p.jpg,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X, ChromeOS",82°,119.99
Anker PowerConf C200,https://pcpartpicker.com/product/czt9TW/anker-powerconf-c200-webcam-a3369,https://m.media-amazon.com/images/I/41rBxqhtMsL.jpg,"2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,47.99
Insta360 Link2 Pro,https://pcpartpicker.com/product/qKDnTW/insta360-link2-pro-webcam-cinsabpa,https://m.media-amazon.com/images/I/31IbNDWozJL.jpg,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",83.9°,249.99
Logitech C270,https://pcpartpicker.com/product/8krYcf/logitech-c270-webcam-960-000694,https://cdna.pcpartpicker.com/static/forever/images/product/2ea46c5847b08c504b33b7d4c8ef39d7.256p.jpg,720p,USB 2.0 Type-A,Fixed,"Windows, OS X, ChromeOS, Android",60°,19.98
Logitech C920 HD Pro,https://pcpartpicker.com/product/Wd2bt6/logitech-c920-hd-pro-webcam-960-000764,https://cdna.pcpartpicker.com/static/forever/images/product/c62b66e9b02a82a043c913ff5f43b4f4.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,69.90
Logitech BRIO STREAM,https://pcpartpicker.com/product/jkxxFT/logitech-brio-stream-webcam-960-001194,https://m.media-amazon.com/images/I/31wEKbWlm5L.jpg,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,"Windows, OS X, ChromeOS",90°,
UGREEN 65381,https://pcpartpicker.com/product/vN7MnQ/ugreen-65381-webcam-65381,https://m.media-amazon.com/images/I/41IITU33cVL.jpg,"4k, 1080p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",70°,44.99
Green Extreme T200,https://pcpartpicker.com/product/2GgQzy/green-extreme-t200-webcam-gx-t200,https://cdna.pcpartpicker.com/static/forever/images/product/d63b78bf4915b1cba7284a5fb1c4dcaa.256p.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Android",65°,14.99
Elgato Facecam 4K,https://pcpartpicker.com/product/8mQwrH/elgato-facecam-4k-webcam-10waf9901,https://cdna.pcpartpicker.com/static/forever/images/product/fcb546952f33b450a2fe310c1ebfff5f.256p.jpg,"4k, 2k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows, OS X",90°,
Elgato Facecam Pro,https://pcpartpicker.com/product/dx9wrH/elgato-facecam-pro-webcam-10wab9901,https://cdna.pcpartpicker.com/static/forever/images/product/320ed317251127b3af9dad5fa21f1a23.256p.jpg,"4k, 1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",90°,
Logitech C920s HD Pro,https://pcpartpicker.com/product/2LgQzy/logitech-c920s-hd-pro-webcam-960-001257,https://m.media-amazon.com/images/I/413c3lWANvL.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,50.97
Logitech MX BRIO,https://pcpartpicker.com/product/fPkH99/logitech-mx-brio-webcam-960-001550,https://cdna.pcpartpicker.com/static/forever/images/product/79f6e956fa576b73514f69ad5b0053bb.256p.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, ChromeOS",90°,169.99
NexiGo N60,https://pcpartpicker.com/product/ByZWGX/nexigo-n60-webcam-n60,https://m.media-amazon.com/images/I/41tYb74YvaL.jpg,1080p,USB 2.0 Type-A,Fixed,"Windows, OS X, Linux, ChromeOS, Android",110°,26.99
Logitech MX BRIO,https://pcpartpicker.com/product/4d7scf/logitech-mx-brio-webcam-960-001558,https://cdna.pcpartpicker.com/static/forever/images/product/0409d03530d8a5018155eb75f450d468.256p.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, ChromeOS",90°,169.99
Adesso Cybertrack H5,https://pcpartpicker.com/product/pnBhP6/adesso-cybertrack-h5-webcam-cybertrack-h5,https://cdna.pcpartpicker.com/static/forever/images/product/3905d8fd8428368c185dd6803ac03429.256p.jpg,1080p,USB 2.0 Type-A,Auto,"Windows, OS X",80°,49.08
Insta360 Link 2,https://pcpartpicker.com/product/J7wD4D/insta360-link-2-webcam-cinsabnb-st,https://m.media-amazon.com/images/I/31yHY4xbTSL.jpg,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",79.5°,
Logitech C922 Pro Stream HD,https://pcpartpicker.com/product/DTgQzy/logitech-c922-pro-stream-hd-webcam-960-001087,https://cdna.pcpartpicker.com/static/forever/images/product/a0b4b1c257ffd6fdd62efe95b9c29201.256p.jpg,"1080p, 720p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS, Android",78°,99.99
Razer Kiyo Pro Ultra,https://pcpartpicker.com/product/dMfnTW/razer-kiyo-pro-ultra-webcam-rz19-04420100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/f0281d7b65771dacec49d796123aa7f6.256p.jpg,"4k, 2k, 1080p, 720p",USB 3.2 Gen 1 Type-A,Auto,Windows,82°,
Adesso Cybertrack H2,https://pcpartpicker.com/product/XB6qqs/adesso-cybertrack-h2-webcam-cybertrack-h2,https://cdna.pcpartpicker.com/static/forever/images/product/d76586e4e1025fc9083aff89ac83f25d.256p.jpg,480p,USB 2.0 Type-A,Fixed,"Windows, OS X",62°,14.99
aoni A31,https://pcpartpicker.com/product/gxqBD3/aoni-a31-webcam-a31,https://cdna.pcpartpicker.com/static/forever/images/product/6a4921a86a061ce0d1436bbaaedabafb.256p.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, Linux, ChromeOS, Android",84°,21.95
Elgato FACECAM MK.2,https://pcpartpicker.com/product/Cbgrxr/elgato-facecam-mk2-webcam-10wac9901,https://cdna.pcpartpicker.com/static/forever/images/product/e585bff6bd397c38e48a1f9ee7362038.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Fixed,"Windows, OS X",84°,109.99
Razer Kiyo,https://pcpartpicker.com/product/F9drxr/razer-kiyo-webcam-rz19-02320100-r3u1,https://cdna.pcpartpicker.com/static/forever/images/product/9a20036a42989c40ac4815feccc3c380.256p.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,Windows,81.6°,
Anker AnkerWork C310,https://pcpartpicker.com/product/vR7scf/anker-ankerwork-c310-webcam-a3367,https://m.media-amazon.com/images/I/41e7iSQiX2L.jpg,"4k, 1080p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",95°,99.99
NexiGo N660P,https://pcpartpicker.com/product/Hc3NnQ/nexigo-n660p-webcam-n660pwht,https://m.media-amazon.com/images/I/31-gQF3VyXL.jpg,"1080p, 720p, 480p",USB 2.0 Type-A,Auto,"Windows, OS X, ChromeOS",,64.98
Elgato Facecam Neo,https://pcpartpicker.com/product/mBxTwP/elgato-facecam-neo-webcam-10wae9901,https://cdna.pcpartpicker.com/static/forever/images/product/2137c5bafb5a77d2753f9f101fe626ca.256p.jpg,"1080p, 720p",USB 3.2 Gen 1 Type-C,Auto,"Windows, OS X",77°,
Insta360 Insta360 Link,https://pcpartpicker.com/product/WHC48d/insta360-insta360-link-webcam-cinstbja,https://cdna.pcpartpicker.com/static/forever/images/product/d0984d0f24918d0e630272f95c2635de.256p.jpg,"4k, 1080p, 720p",USB 2.0 Type-C,Auto,"Windows, OS X",79.5°,
